
Grupe de varsta a sotului , Grupa de varsta a sotiei pentru casatorii, Ani, UM: Numar persoane, Valoare
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 1995, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 1996, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 1997, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 1999, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2000, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2001, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2002, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2003, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2004, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2005, Numar persoane, 3
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2006, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2007, Numar persoane, 4
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2009, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2010, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2011, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2013, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2014, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 55-59 ani, Anul 2015, Numar persoane, 3
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 1990, Numar persoane, 6
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 1993, Numar persoane, 14
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 1996, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 1997, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2000, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2002, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2005, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2006, Numar persoane, 2
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2007, Numar persoane, 3
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2010, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2012, Numar persoane, 1
Varsta sotului 25-29 ani, Varsta sotiei 60 ani si peste, Anul 2015, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1990, Numar persoane, 1538
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1991, Numar persoane, 1486
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1992, Numar persoane, 1389
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1993, Numar persoane, 1274
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1994, Numar persoane, 1258
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1995, Numar persoane, 1127
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1996, Numar persoane, 1080
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1997, Numar persoane, 1067
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1998, Numar persoane, 1267
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 1999, Numar persoane, 1243
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2000, Numar persoane, 1259
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2001, Numar persoane, 1171
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2002, Numar persoane, 1118
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2003, Numar persoane, 1216
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2004, Numar persoane, 1352
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2005, Numar persoane, 1463
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2006, Numar persoane, 1690
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2007, Numar persoane, 1865
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2008, Numar persoane, 1330
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2009, Numar persoane, 1089
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2010, Numar persoane, 832
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2011, Numar persoane, 710
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2012, Numar persoane, 636
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2013, Numar persoane, 586
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2014, Numar persoane, 578
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2015, Numar persoane, 638
Varsta sotului 30-34 ani, Varsta sotiei sub 20 ani, Anul 2016, Numar persoane, 648
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1990, Numar persoane, 6384
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1991, Numar persoane, 5684
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1992, Numar persoane, 5493
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1993, Numar persoane, 4269
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1994, Numar persoane, 4021
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1995, Numar persoane, 3985
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1996, Numar persoane, 3774
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1997, Numar persoane, 4111
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1998, Numar persoane, 5376
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 1999, Numar persoane, 5773
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2000, Numar persoane, 6007
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2001, Numar persoane, 5760
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2002, Numar persoane, 5553
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2003, Numar persoane, 5623
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2004, Numar persoane, 6035
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2005, Numar persoane, 6160
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2006, Numar persoane, 6493
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2007, Numar persoane, 8771
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2008, Numar persoane, 7801
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2009, Numar persoane, 7521
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2010, Numar persoane, 6622
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2011, Numar persoane, 6099
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2012, Numar persoane, 5931
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2013, Numar persoane, 5222
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2014, Numar persoane, 5258
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2015, Numar persoane, 5134
Varsta sotului 30-34 ani, Varsta sotiei 20-24 ani, Anul 2016, Numar persoane, 5579
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1990, Numar persoane, 4699
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1991, Numar persoane, 3848
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1992, Numar persoane, 3725
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1993, Numar persoane, 4147
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1994, Numar persoane, 4543
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1995, Numar persoane, 4989
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1996, Numar persoane, 4932
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1997, Numar persoane, 5438
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1998, Numar persoane, 6148
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 1999, Numar persoane, 6525
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2000, Numar persoane, 7059
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2001, Numar persoane, 7452
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2002, Numar persoane, 7646
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2003, Numar persoane, 8174
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2004, Numar persoane, 9648
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2005, Numar persoane, 10370
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2006, Numar persoane, 11116
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2007, Numar persoane, 15889
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2008, Numar persoane, 12662
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2009, Numar persoane, 11666
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2010, Numar persoane, 10651
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2011, Numar persoane, 10134
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2012, Numar persoane, 10695
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2013, Numar persoane, 11359
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2014, Numar persoane, 12695
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2015, Numar persoane, 14146
Varsta sotului 30-34 ani, Varsta sotiei 25-29 ani, Anul 2016, Numar persoane, 15025
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1990, Numar persoane, 3021
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1991, Numar persoane, 2494
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1992, Numar persoane, 2262
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1993, Numar persoane, 1953
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1994, Numar persoane, 1840
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1995, Numar persoane, 1922
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1996, Numar persoane, 1701
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1997, Numar persoane, 1984
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1998, Numar persoane, 3054
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 1999, Numar persoane, 3757
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2000, Numar persoane, 4333
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2001, Numar persoane, 4730
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2002, Numar persoane, 4939
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2003, Numar persoane, 4615
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2004, Numar persoane, 5207
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2005, Numar persoane, 5590
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2006, Numar persoane, 6427
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2007, Numar persoane, 9451
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2008, Numar persoane, 7928
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2009, Numar persoane, 7614
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2010, Numar persoane, 7069
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2011, Numar persoane, 6519
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2012, Numar persoane, 6895
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2013, Numar persoane, 6576
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2014, Numar persoane, 7231
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2015, Numar persoane, 7932
Varsta sotului 30-34 ani, Varsta sotiei 30-34 ani, Anul 2016, Numar persoane, 8891
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1990, Numar persoane, 1049
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1991, Numar persoane, 888
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1992, Numar persoane, 814
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1993, Numar persoane, 652
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1994, Numar persoane, 669
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1995, Numar persoane, 641
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1996, Numar persoane, 586
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1997, Numar persoane, 495
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1998, Numar persoane, 549
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 1999, Numar persoane, 584
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2000, Numar persoane, 674
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2001, Numar persoane, 679
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2002, Numar persoane, 900
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2003, Numar persoane, 1216
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2004, Numar persoane, 1478
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2005, Numar persoane, 1545
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2006, Numar persoane, 1790
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2007, Numar persoane, 2166
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2008, Numar persoane, 1884
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2009, Numar persoane, 1632
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2010, Numar persoane, 1551
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2011, Numar persoane, 1462
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2012, Numar persoane, 1509
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2013, Numar persoane, 1562
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2014, Numar persoane, 1757
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2015, Numar persoane, 1904
Varsta sotului 30-34 ani, Varsta sotiei 35-39 ani, Anul 2016, Numar persoane, 2106
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1990, Numar persoane, 258
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1991, Numar persoane, 249
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1992, Numar persoane, 225
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1993, Numar persoane, 198
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1994, Numar persoane, 174
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1995, Numar persoane, 164
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1996, Numar persoane, 167
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1997, Numar persoane, 139
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1998, Numar persoane, 153
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 1999, Numar persoane, 163
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2000, Numar persoane, 187
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2001, Numar persoane, 226
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2002, Numar persoane, 185
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2003, Numar persoane, 218
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2004, Numar persoane, 223
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2005, Numar persoane, 238
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2006, Numar persoane, 296
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2007, Numar persoane, 314
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2008, Numar persoane, 374
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2009, Numar persoane, 384
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2010, Numar persoane, 324
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2011, Numar persoane, 323
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2012, Numar persoane, 301
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2013, Numar persoane, 272
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2014, Numar persoane, 336
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2015, Numar persoane, 355
Varsta sotului 30-34 ani, Varsta sotiei 40-44 ani, Anul 2016, Numar persoane, 423
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1990, Numar persoane, 57
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1991, Numar persoane, 48
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1992, Numar persoane, 44
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1993, Numar persoane, 26
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1994, Numar persoane, 39
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1995, Numar persoane, 46
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1996, Numar persoane, 36
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1997, Numar persoane, 32
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1998, Numar persoane, 45
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 1999, Numar persoane, 42
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2000, Numar persoane, 44
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2001, Numar persoane, 52
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2002, Numar persoane, 61
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2003, Numar persoane, 77
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2004, Numar persoane, 69
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2005, Numar persoane, 64
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2006, Numar persoane, 76
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2007, Numar persoane, 71
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2008, Numar persoane, 75
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2009, Numar persoane, 54
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2010, Numar persoane, 33
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2011, Numar persoane, 42
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2012, Numar persoane, 45
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2013, Numar persoane, 52
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2014, Numar persoane, 80
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2015, Numar persoane, 86
Varsta sotului 30-34 ani, Varsta sotiei 45-49 ani, Anul 2016, Numar persoane, 74
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1990, Numar persoane, 15
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1991, Numar persoane, 16
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1992, Numar persoane, 6
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1993, Numar persoane, 5
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1994, Numar persoane, 8
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1995, Numar persoane, 5
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1996, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1997, Numar persoane, 7
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1998, Numar persoane, 8
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 1999, Numar persoane, 5
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2000, Numar persoane, 12
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2001, Numar persoane, 8
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2002, Numar persoane, 16
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2003, Numar persoane, 10
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2004, Numar persoane, 14
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2005, Numar persoane, 19
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2006, Numar persoane, 23
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2007, Numar persoane, 13
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2008, Numar persoane, 13
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2009, Numar persoane, 11
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2010, Numar persoane, 10
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2011, Numar persoane, 12
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2012, Numar persoane, 7
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2013, Numar persoane, 11
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2014, Numar persoane, 4
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2015, Numar persoane, 11
Varsta sotului 30-34 ani, Varsta sotiei 50-54 ani, Anul 2016, Numar persoane, 7
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1990, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1991, Numar persoane, 7
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1993, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1994, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1995, Numar persoane, 4
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1996, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1997, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1998, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 1999, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2000, Numar persoane, 5
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2001, Numar persoane, 4
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2002, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2003, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2004, Numar persoane, 4
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2005, Numar persoane, 12
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2006, Numar persoane, 8
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2007, Numar persoane, 6
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2008, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2009, Numar persoane, 4
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2010, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2011, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2012, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2014, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2015, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 55-59 ani, Anul 2016, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1990, Numar persoane, 5
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1991, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1992, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1993, Numar persoane, 4
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1994, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1995, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1996, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1997, Numar persoane, 2
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 1999, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 2001, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 2002, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 2003, Numar persoane, 1
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 2004, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 2005, Numar persoane, 3
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 2006, Numar persoane, 5
Varsta sotului 30-34 ani, Varsta sotiei 60 ani si peste, Anul 2007, Numar persoane, 2
