
Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Rural, Masculin, Cluj, Anul 2015, Ani, 32.1
Rural, Masculin, Cluj, Anul 2016, Ani, 32
Rural, Masculin, Satu Mare, Anul 1991, Ani, 25.5
Rural, Masculin, Satu Mare, Anul 1992, Ani, 25.2
Rural, Masculin, Satu Mare, Anul 1993, Ani, 25.5
Rural, Masculin, Satu Mare, Anul 1994, Ani, 25.5
Rural, Masculin, Satu Mare, Anul 1995, Ani, 25.9
Rural, Masculin, Satu Mare, Anul 1996, Ani, 25.9
Rural, Masculin, Satu Mare, Anul 1997, Ani, 26.2
Rural, Masculin, Satu Mare, Anul 1998, Ani, 26.3
Rural, Masculin, Satu Mare, Anul 1999, Ani, 26.4
Rural, Masculin, Satu Mare, Anul 2000, Ani, 26.5
Rural, Masculin, Satu Mare, Anul 2001, Ani, 27.3
Rural, Masculin, Satu Mare, Anul 2002, Ani, 27.6
Rural, Masculin, Satu Mare, Anul 2003, Ani, 27.6
Rural, Masculin, Satu Mare, Anul 2004, Ani, 28.2
Rural, Masculin, Satu Mare, Anul 2005, Ani, 27.6
Rural, Masculin, Satu Mare, Anul 2006, Ani, 28.4
Rural, Masculin, Satu Mare, Anul 2007, Ani, 28.9
Rural, Masculin, Satu Mare, Anul 2008, Ani, 28.9
Rural, Masculin, Satu Mare, Anul 2009, Ani, 28.7
Rural, Masculin, Satu Mare, Anul 2010, Ani, 28.4
Rural, Masculin, Satu Mare, Anul 2011, Ani, 28.7
Rural, Masculin, Satu Mare, Anul 2012, Ani, 29.2
Rural, Masculin, Satu Mare, Anul 2013, Ani, 29.1
Rural, Masculin, Satu Mare, Anul 2014, Ani, 29.6
Rural, Masculin, Satu Mare, Anul 2015, Ani, 29.6
Rural, Masculin, Satu Mare, Anul 2016, Ani, 30.4
Rural, Masculin, Brasov, Anul 1991, Ani, 26.8
Rural, Masculin, Brasov, Anul 1992, Ani, 27.1
Rural, Masculin, Brasov, Anul 1993, Ani, 27.6
Rural, Masculin, Brasov, Anul 1994, Ani, 27.9
Rural, Masculin, Brasov, Anul 1995, Ani, 27.9
Rural, Masculin, Brasov, Anul 1996, Ani, 28.2
Rural, Masculin, Brasov, Anul 1997, Ani, 28.2
Rural, Masculin, Brasov, Anul 1998, Ani, 28.2
Rural, Masculin, Brasov, Anul 1999, Ani, 28.9
Rural, Masculin, Brasov, Anul 2000, Ani, 28.8
Rural, Masculin, Brasov, Anul 2001, Ani, 29.2
Rural, Masculin, Brasov, Anul 2002, Ani, 29.9
Rural, Masculin, Brasov, Anul 2003, Ani, 29.7
Rural, Masculin, Brasov, Anul 2004, Ani, 30.4
Rural, Masculin, Brasov, Anul 2005, Ani, 29.8
Rural, Masculin, Brasov, Anul 2006, Ani, 30.4
Rural, Masculin, Brasov, Anul 2007, Ani, 30.6
Rural, Masculin, Brasov, Anul 2008, Ani, 31.3
Rural, Masculin, Brasov, Anul 2009, Ani, 30.8
Rural, Masculin, Brasov, Anul 2010, Ani, 30.3
Rural, Masculin, Brasov, Anul 2011, Ani, 31.6
Rural, Masculin, Brasov, Anul 2012, Ani, 32.2
Rural, Masculin, Brasov, Anul 2013, Ani, 32.2
Rural, Masculin, Brasov, Anul 2014, Ani, 32.3
Rural, Masculin, Brasov, Anul 2015, Ani, 32.5
Rural, Masculin, Brasov, Anul 2016, Ani, 32.7
Rural, Masculin, Covasna, Anul 1991, Ani, 26.3
Rural, Masculin, Covasna, Anul 1992, Ani, 26.3
Rural, Masculin, Covasna, Anul 1993, Ani, 26.7
Rural, Masculin, Covasna, Anul 1994, Ani, 26.8
Rural, Masculin, Covasna, Anul 1995, Ani, 28.5
Rural, Masculin, Covasna, Anul 1996, Ani, 27.5
Rural, Masculin, Covasna, Anul 1997, Ani, 27.4
Rural, Masculin, Covasna, Anul 1998, Ani, 28.2
Rural, Masculin, Covasna, Anul 1999, Ani, 27.7
Rural, Masculin, Covasna, Anul 2000, Ani, 29.3
Rural, Masculin, Covasna, Anul 2001, Ani, 28
Rural, Masculin, Covasna, Anul 2002, Ani, 28.4
Rural, Masculin, Covasna, Anul 2003, Ani, 28.7
Rural, Masculin, Covasna, Anul 2004, Ani, 29.5
Rural, Masculin, Covasna, Anul 2005, Ani, 29.3
Rural, Masculin, Covasna, Anul 2006, Ani, 29.6
Rural, Masculin, Covasna, Anul 2007, Ani, 30.8
Rural, Masculin, Covasna, Anul 2008, Ani, 30.2
Rural, Masculin, Covasna, Anul 2009, Ani, 29.5
Rural, Masculin, Covasna, Anul 2010, Ani, 30
Rural, Masculin, Covasna, Anul 2011, Ani, 30.6
Rural, Masculin, Covasna, Anul 2012, Ani, 30.5
Rural, Masculin, Covasna, Anul 2013, Ani, 30.9
Rural, Masculin, Covasna, Anul 2014, Ani, 31.5
Rural, Masculin, Covasna, Anul 2015, Ani, 31.5
Rural, Masculin, Covasna, Anul 2016, Ani, 31
Rural, Masculin, Harghita, Anul 1991, Ani, 26.1
Rural, Masculin, Harghita, Anul 1992, Ani, 26.1
Rural, Masculin, Harghita, Anul 1993, Ani, 26.2
Rural, Masculin, Harghita, Anul 1994, Ani, 26.8
Rural, Masculin, Harghita, Anul 1995, Ani, 27.1
Rural, Masculin, Harghita, Anul 1996, Ani, 26.9
Rural, Masculin, Harghita, Anul 1997, Ani, 27.2
Rural, Masculin, Harghita, Anul 1998, Ani, 27.3
Rural, Masculin, Harghita, Anul 1999, Ani, 26.9
Rural, Masculin, Harghita, Anul 2000, Ani, 27.5
Rural, Masculin, Harghita, Anul 2001, Ani, 27.6
Rural, Masculin, Harghita, Anul 2002, Ani, 28
Rural, Masculin, Harghita, Anul 2003, Ani, 28.6
Rural, Masculin, Harghita, Anul 2004, Ani, 29.1
Rural, Masculin, Harghita, Anul 2005, Ani, 29.3
Rural, Masculin, Harghita, Anul 2006, Ani, 29
Rural, Masculin, Harghita, Anul 2007, Ani, 31.1
Rural, Masculin, Harghita, Anul 2008, Ani, 30.7
Rural, Masculin, Harghita, Anul 2009, Ani, 30.4
Rural, Masculin, Harghita, Anul 2010, Ani, 30.5
Rural, Masculin, Harghita, Anul 2011, Ani, 31.4
Rural, Masculin, Harghita, Anul 2012, Ani, 31.1
Rural, Masculin, Harghita, Anul 2013, Ani, 31.6
Rural, Masculin, Harghita, Anul 2014, Ani, 31.8
Rural, Masculin, Harghita, Anul 2015, Ani, 31.5
Rural, Masculin, Harghita, Anul 2016, Ani, 31.5
Rural, Masculin, Mures, Anul 1991, Ani, 26.5
Rural, Masculin, Mures, Anul 1992, Ani, 26.7
Rural, Masculin, Mures, Anul 1993, Ani, 26.6
Rural, Masculin, Mures, Anul 1994, Ani, 27.2
Rural, Masculin, Mures, Anul 1995, Ani, 27.7
Rural, Masculin, Mures, Anul 1996, Ani, 27.7
Rural, Masculin, Mures, Anul 1997, Ani, 27.5
Rural, Masculin, Mures, Anul 1998, Ani, 28
Rural, Masculin, Mures, Anul 1999, Ani, 27.9
Rural, Masculin, Mures, Anul 2000, Ani, 28.9
Rural, Masculin, Mures, Anul 2001, Ani, 28.8
Rural, Masculin, Mures, Anul 2002, Ani, 29.1
Rural, Masculin, Mures, Anul 2003, Ani, 29.5
Rural, Masculin, Mures, Anul 2004, Ani, 30.5
Rural, Masculin, Mures, Anul 2005, Ani, 30.1
Rural, Masculin, Mures, Anul 2006, Ani, 30.8
Rural, Masculin, Mures, Anul 2007, Ani, 32.4
Rural, Masculin, Mures, Anul 2008, Ani, 31.4
Rural, Masculin, Mures, Anul 2009, Ani, 30.7
Rural, Masculin, Mures, Anul 2010, Ani, 30.7
Rural, Masculin, Mures, Anul 2011, Ani, 30.9
Rural, Masculin, Mures, Anul 2012, Ani, 31.3
Rural, Masculin, Mures, Anul 2013, Ani, 31.6
Rural, Masculin, Mures, Anul 2014, Ani, 31.8
Rural, Masculin, Mures, Anul 2015, Ani, 31.8
Rural, Masculin, Mures, Anul 2016, Ani, 32.1
Rural, Masculin, Timis, Anul 1991, Ani, 27.2
Rural, Masculin, Timis, Anul 1992, Ani, 27.7
Rural, Masculin, Timis, Anul 1993, Ani, 27.5
Rural, Masculin, Timis, Anul 1994, Ani, 28.4
Rural, Masculin, Timis, Anul 1995, Ani, 28.1
Rural, Masculin, Timis, Anul 1996, Ani, 28.3
Rural, Masculin, Timis, Anul 1997, Ani, 28.2
Rural, Masculin, Timis, Anul 1998, Ani, 28.3
Rural, Masculin, Timis, Anul 1999, Ani, 28.8
Rural, Masculin, Timis, Anul 2000, Ani, 30.3
Rural, Masculin, Timis, Anul 2001, Ani, 31
Rural, Masculin, Timis, Anul 2002, Ani, 30.1
Rural, Masculin, Timis, Anul 2003, Ani, 30.1
Rural, Masculin, Timis, Anul 2004, Ani, 30.8
Rural, Masculin, Timis, Anul 2005, Ani, 31
Rural, Masculin, Timis, Anul 2006, Ani, 31
Rural, Masculin, Timis, Anul 2007, Ani, 32.3
Rural, Masculin, Timis, Anul 2008, Ani, 31.4
Rural, Masculin, Timis, Anul 2009, Ani, 30.9
Rural, Masculin, Timis, Anul 2010, Ani, 31.1
Rural, Masculin, Timis, Anul 2011, Ani, 31.6
Rural, Masculin, Timis, Anul 2012, Ani, 31.6
Rural, Masculin, Timis, Anul 2013, Ani, 31.8
Rural, Masculin, Timis, Anul 2014, Ani, 31.5
Rural, Masculin, Timis, Anul 2015, Ani, 31.9
Rural, Masculin, Timis, Anul 2016, Ani, 32.2
Rural, Feminin, Bihor, Anul 1991, Ani, 22.9
Rural, Feminin, Bihor, Anul 1992, Ani, 23.3
Rural, Feminin, Bihor, Anul 1993, Ani, 23.3
Rural, Feminin, Bihor, Anul 1994, Ani, 23.1
Rural, Feminin, Bihor, Anul 1995, Ani, 24.2
Rural, Feminin, Bihor, Anul 1996, Ani, 23.5
Rural, Feminin, Bihor, Anul 1997, Ani, 23.2
Rural, Feminin, Bihor, Anul 1998, Ani, 23.8
Rural, Feminin, Bihor, Anul 1999, Ani, 24.1
Rural, Feminin, Bihor, Anul 2000, Ani, 24.7
Rural, Feminin, Bihor, Anul 2001, Ani, 24.9
Rural, Feminin, Bihor, Anul 2002, Ani, 25.2
Rural, Feminin, Bihor, Anul 2003, Ani, 24.8
Rural, Feminin, Bihor, Anul 2004, Ani, 25.6
Rural, Feminin, Bihor, Anul 2005, Ani, 25.4
Rural, Feminin, Bihor, Anul 2006, Ani, 25.3
Rural, Feminin, Bihor, Anul 2007, Ani, 27.8
Rural, Feminin, Bihor, Anul 2008, Ani, 26.5
Rural, Feminin, Bihor, Anul 2009, Ani, 26.2
Rural, Feminin, Bihor, Anul 2010, Ani, 26.3
Rural, Feminin, Bihor, Anul 2011, Ani, 26.5
Rural, Feminin, Bihor, Anul 2012, Ani, 27
Rural, Feminin, Bihor, Anul 2013, Ani, 26.9
Rural, Feminin, Bihor, Anul 2014, Ani, 27.4
Rural, Feminin, Bihor, Anul 2015, Ani, 27.7
Rural, Feminin, Bihor, Anul 2016, Ani, 28
Rural, Feminin, Cluj, Anul 1991, Ani, 22.8
Rural, Feminin, Cluj, Anul 1992, Ani, 22.7
Rural, Feminin, Cluj, Anul 1993, Ani, 22.7
Rural, Feminin, Cluj, Anul 1994, Ani, 22.7
Rural, Feminin, Cluj, Anul 1995, Ani, 23.7
Rural, Feminin, Cluj, Anul 1996, Ani, 23.5
Rural, Feminin, Cluj, Anul 1997, Ani, 23.6
Rural, Feminin, Cluj, Anul 1998, Ani, 24
Rural, Feminin, Cluj, Anul 1999, Ani, 24.1
Rural, Feminin, Cluj, Anul 2000, Ani, 24.2
Rural, Feminin, Cluj, Anul 2001, Ani, 25
Rural, Feminin, Cluj, Anul 2002, Ani, 24.5
Rural, Feminin, Cluj, Anul 2003, Ani, 25.3
Rural, Feminin, Cluj, Anul 2004, Ani, 25.7
Rural, Feminin, Cluj, Anul 2005, Ani, 25.9
Rural, Feminin, Cluj, Anul 2006, Ani, 26.5
Rural, Feminin, Cluj, Anul 2007, Ani, 26.9
Rural, Feminin, Cluj, Anul 2008, Ani, 26.5
Rural, Feminin, Cluj, Anul 2009, Ani, 26.8
Rural, Feminin, Cluj, Anul 2010, Ani, 27.1
Rural, Feminin, Cluj, Anul 2011, Ani, 27.6
Rural, Feminin, Cluj, Anul 2012, Ani, 27.7
Rural, Feminin, Cluj, Anul 2013, Ani, 27.5
Rural, Feminin, Cluj, Anul 2014, Ani, 28.3
Rural, Feminin, Cluj, Anul 2015, Ani, 28.4
Rural, Feminin, Cluj, Anul 2016, Ani, 28.7
Rural, Feminin, Satu Mare, Anul 1991, Ani, 21.9
Rural, Feminin, Satu Mare, Anul 1992, Ani, 21.2
Rural, Feminin, Satu Mare, Anul 1993, Ani, 21.7
Rural, Feminin, Satu Mare, Anul 1994, Ani, 21.3
Rural, Feminin, Satu Mare, Anul 1995, Ani, 21.8
Rural, Feminin, Satu Mare, Anul 1996, Ani, 21.9
Rural, Feminin, Satu Mare, Anul 1997, Ani, 22.1
Rural, Feminin, Satu Mare, Anul 1998, Ani, 22.2
Rural, Feminin, Satu Mare, Anul 1999, Ani, 22.4
Rural, Feminin, Satu Mare, Anul 2000, Ani, 22.5
Rural, Feminin, Satu Mare, Anul 2001, Ani, 23.1
Rural, Feminin, Satu Mare, Anul 2002, Ani, 23.6
Rural, Feminin, Satu Mare, Anul 2003, Ani, 23
Rural, Feminin, Satu Mare, Anul 2004, Ani, 23.8
Rural, Feminin, Satu Mare, Anul 2005, Ani, 23.4
Rural, Feminin, Satu Mare, Anul 2006, Ani, 24
Rural, Feminin, Satu Mare, Anul 2007, Ani, 25
Rural, Feminin, Satu Mare, Anul 2008, Ani, 25.1
Rural, Feminin, Satu Mare, Anul 2009, Ani, 24.8
Rural, Feminin, Satu Mare, Anul 2010, Ani, 24.5
Rural, Feminin, Satu Mare, Anul 2011, Ani, 24.8
Rural, Feminin, Satu Mare, Anul 2012, Ani, 25.3
Rural, Feminin, Satu Mare, Anul 2013, Ani, 25.3
Rural, Feminin, Satu Mare, Anul 2014, Ani, 25.9
Rural, Feminin, Satu Mare, Anul 2015, Ani, 25.9
Rural, Feminin, Satu Mare, Anul 2016, Ani, 26.6
Rural, Feminin, Brasov, Anul 1991, Ani, 23.2
Rural, Feminin, Brasov, Anul 1992, Ani, 23.4
Rural, Feminin, Brasov, Anul 1993, Ani, 23.6
Rural, Feminin, Brasov, Anul 1994, Ani, 24
Rural, Feminin, Brasov, Anul 1995, Ani, 24.2
Rural, Feminin, Brasov, Anul 1996, Ani, 24.1
Rural, Feminin, Brasov, Anul 1997, Ani, 24
Rural, Feminin, Brasov, Anul 1998, Ani, 24.4
Rural, Feminin, Brasov, Anul 1999, Ani, 24.9
Rural, Feminin, Brasov, Anul 2000, Ani, 24.8
Rural, Feminin, Brasov, Anul 2001, Ani, 25.4
Rural, Feminin, Brasov, Anul 2002, Ani, 26
Rural, Feminin, Brasov, Anul 2003, Ani, 26
Rural, Feminin, Brasov, Anul 2004, Ani, 26.4
Rural, Feminin, Brasov, Anul 2005, Ani, 26
Rural, Feminin, Brasov, Anul 2006, Ani, 26.7
Rural, Feminin, Brasov, Anul 2007, Ani, 27.2
Rural, Feminin, Brasov, Anul 2008, Ani, 27.4
Rural, Feminin, Brasov, Anul 2009, Ani, 26.9
Rural, Feminin, Brasov, Anul 2010, Ani, 27
Rural, Feminin, Brasov, Anul 2011, Ani, 27.7
Rural, Feminin, Brasov, Anul 2012, Ani, 28.3
Rural, Feminin, Brasov, Anul 2013, Ani, 28.4
Rural, Feminin, Brasov, Anul 2014, Ani, 28.8
Rural, Feminin, Brasov, Anul 2015, Ani, 29
Rural, Feminin, Brasov, Anul 2016, Ani, 29.1
Rural, Feminin, Covasna, Anul 1991, Ani, 22.6
Rural, Feminin, Covasna, Anul 1992, Ani, 22.5
Rural, Feminin, Covasna, Anul 1993, Ani, 22.8
Rural, Feminin, Covasna, Anul 1994, Ani, 23.1
Rural, Feminin, Covasna, Anul 1995, Ani, 24.8
Rural, Feminin, Covasna, Anul 1996, Ani, 23.6
Rural, Feminin, Covasna, Anul 1997, Ani, 23.8
Rural, Feminin, Covasna, Anul 1998, Ani, 24.7
Rural, Feminin, Covasna, Anul 1999, Ani, 23.9
Rural, Feminin, Covasna, Anul 2000, Ani, 25.2
Rural, Feminin, Covasna, Anul 2001, Ani, 24.3
Rural, Feminin, Covasna, Anul 2002, Ani, 24.8
Rural, Feminin, Covasna, Anul 2003, Ani, 25.5
Rural, Feminin, Covasna, Anul 2004, Ani, 25.8
Rural, Feminin, Covasna, Anul 2005, Ani, 26
Rural, Feminin, Covasna, Anul 2006, Ani, 26.3
Rural, Feminin, Covasna, Anul 2007, Ani, 27.4
Rural, Feminin, Covasna, Anul 2008, Ani, 26.6
Rural, Feminin, Covasna, Anul 2009, Ani, 25.9
Rural, Feminin, Covasna, Anul 2010, Ani, 25.8
Rural, Feminin, Covasna, Anul 2011, Ani, 26.5
Rural, Feminin, Covasna, Anul 2012, Ani, 26.6
Rural, Feminin, Covasna, Anul 2013, Ani, 27.4
Rural, Feminin, Covasna, Anul 2014, Ani, 27.6
Rural, Feminin, Covasna, Anul 2015, Ani, 27.6
Rural, Feminin, Covasna, Anul 2016, Ani, 27.2
Rural, Feminin, Harghita, Anul 1991, Ani, 22.5
Rural, Feminin, Harghita, Anul 1992, Ani, 22.6
Rural, Feminin, Harghita, Anul 1993, Ani, 22.9
Rural, Feminin, Harghita, Anul 1994, Ani, 23.2
Rural, Feminin, Harghita, Anul 1995, Ani, 23.2
Rural, Feminin, Harghita, Anul 1996, Ani, 23.1
Rural, Feminin, Harghita, Anul 1997, Ani, 23.5
Rural, Feminin, Harghita, Anul 1998, Ani, 23.3
Rural, Feminin, Harghita, Anul 1999, Ani, 23.4
Rural, Feminin, Harghita, Anul 2000, Ani, 23.9
Rural, Feminin, Harghita, Anul 2001, Ani, 24.2
Rural, Feminin, Harghita, Anul 2002, Ani, 24.4
Rural, Feminin, Harghita, Anul 2003, Ani, 24.6
Rural, Feminin, Harghita, Anul 2004, Ani, 25.2
Rural, Feminin, Harghita, Anul 2005, Ani, 25.1
Rural, Feminin, Harghita, Anul 2006, Ani, 25.2
Rural, Feminin, Harghita, Anul 2007, Ani, 27.4
Rural, Feminin, Harghita, Anul 2008, Ani, 26.8
Rural, Feminin, Harghita, Anul 2009, Ani, 26.6
Rural, Feminin, Harghita, Anul 2010, Ani, 26.5
Rural, Feminin, Harghita, Anul 2011, Ani, 27.3
Rural, Feminin, Harghita, Anul 2012, Ani, 27
Rural, Feminin, Harghita, Anul 2013, Ani, 27.7
Rural, Feminin, Harghita, Anul 2014, Ani, 27.9
Rural, Feminin, Harghita, Anul 2015, Ani, 27.7
Rural, Feminin, Harghita, Anul 2016, Ani, 27.8
Rural, Feminin, Mures, Anul 1991, Ani, 22.8
Rural, Feminin, Mures, Anul 1992, Ani, 22.7
Rural, Feminin, Mures, Anul 1993, Ani, 22.8
Rural, Feminin, Mures, Anul 1994, Ani, 23.5
Rural, Feminin, Mures, Anul 1995, Ani, 23.7
Rural, Feminin, Mures, Anul 1996, Ani, 23.7
Rural, Feminin, Mures, Anul 1997, Ani, 23.5
Rural, Feminin, Mures, Anul 1998, Ani, 24
Rural, Feminin, Mures, Anul 1999, Ani, 24
Rural, Feminin, Mures, Anul 2000, Ani, 24.8
Rural, Feminin, Mures, Anul 2001, Ani, 24.7
Rural, Feminin, Mures, Anul 2002, Ani, 25.2
Rural, Feminin, Mures, Anul 2003, Ani, 25.5
Rural, Feminin, Mures, Anul 2004, Ani, 26.3
Rural, Feminin, Mures, Anul 2005, Ani, 26
Rural, Feminin, Mures, Anul 2006, Ani, 26.4
Rural, Feminin, Mures, Anul 2007, Ani, 28.5
Rural, Feminin, Mures, Anul 2008, Ani, 27.2
Rural, Feminin, Mures, Anul 2009, Ani, 26.7
Rural, Feminin, Mures, Anul 2010, Ani, 26.8
Rural, Feminin, Mures, Anul 2011, Ani, 27
Rural, Feminin, Mures, Anul 2012, Ani, 27.5
Rural, Feminin, Mures, Anul 2013, Ani, 27.7
Rural, Feminin, Mures, Anul 2014, Ani, 27.7
Rural, Feminin, Mures, Anul 2015, Ani, 28.1
Rural, Feminin, Mures, Anul 2016, Ani, 28.3
Rural, Feminin, Timis, Anul 1991, Ani, 23.7
Rural, Feminin, Timis, Anul 1992, Ani, 24.2
Rural, Feminin, Timis, Anul 1993, Ani, 23.8
Rural, Feminin, Timis, Anul 1994, Ani, 24.6
Rural, Feminin, Timis, Anul 1995, Ani, 24.3
Rural, Feminin, Timis, Anul 1996, Ani, 24.4
Rural, Feminin, Timis, Anul 1997, Ani, 24.5
Rural, Feminin, Timis, Anul 1998, Ani, 24.6
Rural, Feminin, Timis, Anul 1999, Ani, 24.9
Rural, Feminin, Timis, Anul 2000, Ani, 26.3
Rural, Feminin, Timis, Anul 2001, Ani, 26.9
Rural, Feminin, Timis, Anul 2002, Ani, 26.2
Rural, Feminin, Timis, Anul 2003, Ani, 26.2
Rural, Feminin, Timis, Anul 2004, Ani, 26.5
Rural, Feminin, Timis, Anul 2005, Ani, 26.9
Rural, Feminin, Timis, Anul 2006, Ani, 27
Rural, Feminin, Timis, Anul 2007, Ani, 28.6
Rural, Feminin, Timis, Anul 2008, Ani, 27.6
Rural, Feminin, Timis, Anul 2009, Ani, 27.2
Rural, Feminin, Timis, Anul 2010, Ani, 27.5
Rural, Feminin, Timis, Anul 2011, Ani, 28.2
Rural, Feminin, Timis, Anul 2012, Ani, 27.9
Rural, Feminin, Timis, Anul 2013, Ani, 28
Rural, Feminin, Timis, Anul 2014, Ani, 28
Rural, Feminin, Timis, Anul 2015, Ani, 28.5
Rural, Feminin, Timis, Anul 2016, Ani, 28.8
