Sorszám,Neme?,Életkora,Városban lakik?,A legmagasabb iskolai végzettsége,Hányan élnek egy háztartásban?,"Hogy érzi, mennyire boldog? A jelenlegi élethelyzetében a létra melyik fokán áll?",Hogyan érzékeli a szakmai pályafutását? Jelenleg melyik fokon áll karrier szempontjából?,Hogyan érzékeli az egészségi állapotát? Jelenleg  melyik fokon áll egészségileg?,Milyeneknek érzi a baráti kapcsolatait? Jelenleg  melyik fokon áll az emberi kapcsolatokban?,"Milyennek érzékeli a természeti környezetet, amely körülveszi? Jelenleg  melyik fokon áll a környezetével kapcsolatokban?",Megfelelő kikapcsolódási és szórakozási lehetőségei vannak? Jelenleg  melyik fokon áll a kikapcsolódás és szórakozás terén?,Vallásos-e ön?,Hogyan látja a jövőt? A boldogságát tekintve melyik fokon fog állni 5 év múlva?,Hogyan érzékeli az anyagi helyzetét? Jelenleg  melyik fokon áll anyagilag?,Milyeneknek érzi a családi kapcsolatait? Jelenleg  melyik fokon áll a családi kapcsolatokban?,Egy főre jutó nettó jövedelem a háztartásban,Munkaviszonya,Végez hetente legalább 3-szor legkevesebb 30 perc testmozgást?,"Milyen lesz a természeti környezet, amely körülveszi? 5 év múlva melyik fokon fog állni a környezetével kapcsolatokban?",Milyen a spiritualitással való kapcsolata? Jelenleg a létra melyik fokán áll a spiritualitás terén?,"Ha bajba kerül vagy problémája adódik, van-e valaki a családjában vagy a közvetlen környezetében, akinek a segítségére vagy támogatására számíthat?","Melyik székely szék településén van állandó lakhelye? (Az, ahol valóban lakik, nem az, amit a személyazonossági igazolványa ír.)","Szokott-e pénzzel vagy önkéntes munkával segíteni rászorulóknak, esetleg a rászorulókat támogató szervezeteknek? ",Adományozott-e pénzt (bármilyen csekély összeget) az elmúlt hónapban?,"Leggyakrabban (nem a jelen pillanatban) milyen a kedélyállapota? Ha az előző szakaszban említett létrán 0 a mély depresszió és 10 a maximális eufória, akkor jelenleg a létra melyik fokán áll általános kedélyállapotát tekintve?","Az ön közvetlen családjában (szülők, testvérek, házastárs, vagy gyermek) volt-e öngyilkossági kísérlet?","Önnek, személy szerint volt-e öngyilkossági kísérlete?","Úgy érzi, hogy van elég választási szabadsága, amikor fontos élethelyzetekben kell döntenie?",Korruptnak tartja-e a kormányzatot?,Korruptnak tartja-e a székelyföldi politikusokat?,Korruptnak tartja-e a székelyföldi üzletembereket? A helyi gazdasági életben csak korrupcióval lehet érvényesülni?,,
305,férfi,25-34,Nem,középiskola,4,7,2,6,8,5,2,"valamennyire igen, évente többször járok templomba",6,3,9,999 RON alatt,Alkalmazott,igen,4,0,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,1,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
306,férfi,65-74,Nem,felsőfokú,egyedül él,0,3,5,1,2,2,"valamennyire igen, de nem járok templomba",2,2,0,2000 - 2999 RON között,Nyugdíjas,igen,1,0,Igen,Gyergyószék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,0,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
307,férfi,35-44,Igen,doktori,4,3,3,5,5,3,5,"valamennyire igen, évente többször járok templomba",1,4,5,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,1,5,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,5,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
308,férfi,65-74,Igen,középiskola,2,1,0,1,10,10,10,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",1,1,10,999 RON alatt,Nyugdíjas,igen,10,10,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,5,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
309,nő,25-34,Nem,doktori,2,9,9,9,9,9,7,"valamennyire igen, évente többször járok templomba",10,8,10,2000 - 2999 RON között,Alkalmazott,igen,9,8,Igen,Sepsiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
310,férfi,35-44,Igen,középiskola,4,9,10,8,9,9,9,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,8,10,1000 - 1999 RON között,Alkalmazott,igen,9,3,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
311,férfi,45-54,Igen,középiskola,5 vagy több,7,8,10,7,10,2,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",10,8,9,999 RON alatt,Alkalmazott,igen,8,8,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
312,férfi,65-74,Igen,középiskola,2,1,1,0,10,10,5,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",1,0,10,999 RON alatt,Nyugdíjas,igen,10,10,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,5,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
313,férfi,15-24,Igen,felsőfokú,3,9,8,9,9,9,7,"valamennyire igen, évente többször járok templomba",9,10,9,3000 RON fölött,Alkalmazott,igen,8,8,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
314,férfi,25-34,Nem,doktori,4,8,6,7,8,7,10,nem hiszek semmilyen vallásban vagy teremtőben,8,6,9,1000 - 1999 RON között,Alkalmazott,nem,8,3,Igen,Udvarhelyszék,Soha. Nem hatódom meg az ilyen kérésektől.,Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
315,nő,45-54,Igen,felsőfokú,2,7,7,7,7,7,6,"valamennyire igen, de nem járok templomba",8,4,9,3000 RON fölött,Vállalkozó / cégtulajdonos,nem,8,6,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,7,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
316,férfi,35-44,Igen,felsőfokú,3,8,6,8,5,7,5,"igen, heti rendszerességgel járok templomba",5,8,7,2000 - 2999 RON között,Alkalmazott,nem,7,5,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,6,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
317,nő,25-34,Nem,felsőfokú,4,3,6,8,8,8,6,"valamennyire igen, évente többször járok templomba",7,5,6,1000 - 1999 RON között,Alkalmazott,igen,6,6,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Igen!,Nem!,Igen!,,
318,nő,65-74,Igen,középiskola,egyedül él,7,4,6,8,5,9,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",7,5,9,1000 - 1999 RON között,Nyugdíjas,igen,6,5,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
319,nő,45-54,Igen,középiskola,4,6,4,6,7,5,1,"valamennyire igen, de nem járok templomba",7,2,6,1000 - 1999 RON között,Alkalmazott,igen,5,3,Nem,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
320,férfi,45-54,Nem,középiskola,4,5,3,6,5,6,5,"igen, heti rendszerességgel járok templomba",5,4,8,999 RON alatt,Vállalkozó / cégtulajdonos,igen,6,5,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,6,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
321,nő,55-64,Nem,felsőfokú,2,7,6,8,8,9,7,"valamennyire igen, évente többször járok templomba",7,8,9,1000 - 1999 RON között,Nyugdíjas,igen,9,7,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
322,nő,45-54,Igen,középiskola,egyedül él,5,0,10,10,5,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,2,9,999 RON alatt,Munkanélküli,igen,3,10,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,1,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
323,nő,35-44,Igen,doktori,5 vagy több,8,8,10,9,7,7,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",9,7,9,2000 - 2999 RON között,Alkalmazott,igen,6,7,Igen,Marosszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
324,férfi,35-44,Igen,felsőfokú,4,8,7,7,6,8,7,"valamennyire igen, évente többször járok templomba",8,9,9,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,nem,7,5,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
325,férfi,35-44,Igen,felsőfokú,4,7,6,10,8,9,8,"valamennyire igen, évente többször járok templomba",9,7,8,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,nem,10,7,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
326,nő,25-34,Igen,felsőfokú,egyedül él,5,6,6,4,9,2,"valamennyire igen, évente többször járok templomba",7,8,7,2000 - 2999 RON között,Alkalmazott,nem,8,5,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
327,férfi,55-64,Igen,felsőfokú,egyedül él,8,8,8,7,7,8,"valamennyire igen, de nem járok templomba",9,8,8,3000 RON fölött,Vállalkozó / cégtulajdonos,igen,8,8,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
328,nő,35-44,Igen,felsőfokú,4,8,9,9,6,7,6,"igen, heti rendszerességgel járok templomba",7,8,10,2000 - 2999 RON között,Alkalmazott,nem,5,4,Igen,Udvarhelyszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,3,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
329,férfi,25-34,Nem,felsőfokú,2,10,8,10,10,10,9,"valamennyire igen, de nem járok templomba",10,8,9,3000 RON fölött,Alkalmazott,igen,10,5,Igen,Marosszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,10,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
330,nő,35-44,Nem,felsőfokú,3,9,10,8,9,7,8,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,8,9,3000 RON fölött,Alkalmazott,nem,7,5,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
331,férfi,45-54,Igen,felsőfokú,4,8,8,7,8,8,6,"valamennyire igen, de nem járok templomba",8,8,9,1000 - 1999 RON között,Alkalmazott,igen,8,1,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Igen,Nem,Igen,Igen!,Nem!,Nem!,,
332,férfi,45-54,Igen,középiskola,4,8,8,8,9,9,9,"igen, heti rendszerességgel járok templomba",8,7,8,999 RON alatt,Alkalmazott,igen,9,9,Igen,Udvarhelyszék,Természetesen. Én is tagja vagyok egy ilyen szervezetnek.,Igen,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
333,férfi,25-34,Nem,felsőfokú,4,7,7,8,8,9,7,"valamennyire igen, évente többször járok templomba",9,7,9,1000 - 1999 RON között,Alkalmazott,igen,8,6,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
334,nő,35-44,Igen,felsőfokú,4,6,2,8,7,8,5,"valamennyire igen, évente többször járok templomba",9,7,8,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,nem,10,8,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
335,férfi,25-34,Igen,felsőfokú,3,3,3,5,7,3,3,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",3,5,4,1000 - 1999 RON között,Alkalmazott,nem,3,1,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,3,Nem,Igen,Nem,Nem!,Nem!,Igen!,,
336,férfi,45-54,Nem,felsőfokú,4,7,8,8,6,9,9,"igen, heti rendszerességgel járok templomba",9,5,9,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,nem,9,8,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
337,férfi,25-34,Igen,felsőfokú,2,7,7,8,8,9,7,"valamennyire igen, de nem járok templomba",8,5,9,2000 - 2999 RON között,Alkalmazott,igen,9,5,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
338,nő,25-34,Igen,felsőfokú,4,7,7,8,10,8,8,"valamennyire igen, évente többször járok templomba",8,6,10,1000 - 1999 RON között,Alkalmazott,igen,8,8,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
339,nő,25-34,Igen,középiskola,2,7,6,8,8,6,5,"valamennyire igen, évente többször járok templomba",9,5,8,1000 - 1999 RON között,Alkalmazott,,5,8,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
340,férfi,25-34,Igen,középiskola,5 vagy több,6,5,5,5,10,10,nem hiszek semmilyen vallásban vagy teremtőben,7,2,2,999 RON alatt,Egyéb,igen,10,0,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,6,Nem,Nem,Nem,Igen!,Nem!,Igen!,,
341,nő,35-44,Igen,doktori,4,9,7,9,8,9,5,"valamennyire igen, de nem járok templomba",10,7,9,1000 - 1999 RON között,Alkalmazott,igen,9,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
342,nő,25-34,Igen,felsőfokú,2,4,7,3,3,3,3,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",4,4,6,1000 - 1999 RON között,Vállalkozó / cégtulajdonos,igen,3,6,Igen,Marosszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,4,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
343,férfi,35-44,Igen,felsőfokú,4,6,3,9,6,8,6,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",7,5,9,999 RON alatt,Alkalmazott,nem,8,1,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
344,férfi,45-54,Igen,középiskola,4,8,10,8,8,10,9,"valamennyire igen, évente többször járok templomba",8,7,8,2000 - 2999 RON között,Alkalmazott,igen,9,8,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
345,nő,35-44,Igen,felsőfokú,4,7,7,10,6,3,3,"valamennyire igen, de nem járok templomba",9,7,7,1000 - 1999 RON között,Alkalmazott,nem,2,1,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,5,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
346,nő,45-54,Nem,felsőfokú,5 vagy több,8,7,7,6,5,7,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",5,4,9,999 RON alatt,Alkalmazott,igen,5,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,9,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
347,nő,45-54,Nem,középiskola,3,7,7,7,8,9,7,"valamennyire igen, évente többször járok templomba",7,6,9,1000 - 1999 RON között,Alkalmazott,nem,9,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
348,férfi,45-54,Igen,felsőfokú,4,10,9,10,9,10,10,"valamennyire igen, évente többször járok templomba",10,10,10,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,igen,10,7,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,10,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
349,nő,35-44,Nem,felsőfokú,5 vagy több,7,2,8,6,5,5,"valamennyire igen, évente többször járok templomba",7,5,10,999 RON alatt,Alkalmazott,nem,4,5,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
350,férfi,25-34,Igen,felsőfokú,4,10,7,10,10,8,10,"valamennyire igen, évente többször járok templomba",10,7,8,1000 - 1999 RON között,Alkalmazott,igen,10,8,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,10,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
351,nő,45-54,Igen,doktori,egyedül él,8,8,9,8,7,7,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",6,7,9,2000 - 2999 RON között,Alkalmazott,nem,5,8,Igen,Csíkszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
352,férfi,25-34,Igen,felsőfokú,2,4,7,9,9,7,6,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",8,8,8,3000 RON fölött,Vállalkozó / cégtulajdonos,igen,7,3,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
353,nő,25-34,Igen,felsőfokú,2,8,6,8,8,6,8,"valamennyire igen, de nem járok templomba",9,7,9,2000 - 2999 RON között,Alkalmazott,igen,7,7,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
354,férfi,45-54,Igen,középiskola,4,8,7,5,8,10,4,"igen, heti rendszerességgel járok templomba",10,2,10,999 RON alatt,Nyugdíjas,,10,10,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
355,nő,25-34,Igen,felsőfokú,2,7,1,8,7,9,7,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",7,1,9,999 RON alatt,Alkalmazott,igen,9,7,Nem,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,3,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
356,férfi,45-54,Igen,felsőfokú,5 vagy több,8,9,8,8,8,8,"valamennyire igen, évente többször járok templomba",8,5,10,1000 - 1999 RON között,Alkalmazott,igen,9,8,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
357,nő,45-54,Igen,felsőfokú,egyedül él,6,3,2,3,8,7,"valamennyire igen, évente többször járok templomba",5,3,7,2000 - 2999 RON között,Alkalmazott,nem,8,8,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
358,férfi,35-44,Igen,felsőfokú,4,7,6,7,5,8,4,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",8,6,9,1000 - 1999 RON között,Alkalmazott,nem,8,4,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
359,nő,65-74,Igen,középiskola,egyedül él,5,5,6,7,7,8,"valamennyire igen, évente többször járok templomba",3,5,5,1000 - 1999 RON között,Nyugdíjas,igen,4,2,Igen,Marosszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Igen,4,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
360,férfi,25-34,Nem,középiskola,3,5,6,6,3,8,3,"valamennyire igen, évente többször járok templomba",6,5,8,999 RON alatt,Alkalmazott,igen,7,8,Igen,Udvarhelyszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,5,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
361,férfi,35-44,Igen,felsőfokú,2,7,6,8,6,7,5,"valamennyire igen, évente többször járok templomba",9,6,8,2000 - 2999 RON között,Alkalmazott,igen,4,5,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
362,nő,25-34,Igen,felsőfokú,4,4,4,8,5,7,5,"igen, heti rendszerességgel járok templomba",4,4,4,1000 - 1999 RON között,Alkalmazott,igen,4,8,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,5,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
363,nő,45-54,Igen,felsőfokú,3,8,5,9,9,8,9,"valamennyire igen, de nem járok templomba",9,7,9,2000 - 2999 RON között,Alkalmazott,igen,7,7,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
364,nő,55-64,Nem,középiskola,egyedül él,5,7,8,5,5,3,"valamennyire igen, évente többször járok templomba",4,6,9,1000 - 1999 RON között,Alkalmazott,igen,3,3,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Nem,Igen!,Igen!,Nem!,,
365,nő,55-64,Igen,felsőfokú,2,9,9,8,8,8,9,"igen, heti rendszerességgel járok templomba",9,9,9,3000 RON fölött,Alkalmazott,nem,7,8,Igen,Udvarhelyszék,"Mindig segítek ha kérnek. Nem tudok ""Nem!""-et mondani.",Igen,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
366,nő,25-34,Igen,felsőfokú,2,5,5,7,5,6,3,"valamennyire igen, de nem járok templomba",6,5,7,1000 - 1999 RON között,Alkalmazott,igen,7,3,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,5,Igen,Nem,Nem,Igen!,Nem!,Nem!,,
367,nő,45-54,Igen,felsőfokú,egyedül él,9,9,10,8,10,9,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,9,8,2000 - 2999 RON között,Alkalmazott,nem,10,10,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,9,Igen,Nem,Igen,Igen!,Igen!,Nem!,,
368,nő,25-34,Igen,felsőfokú,2,9,8,9,9,9,8,"valamennyire igen, évente többször járok templomba",10,8,9,1000 - 1999 RON között,Alkalmazott,igen,8,9,Igen,Udvarhelyszék,Ritkán. Ha rokonom vagy ismerősöm támogatja őket és ő kér fel.,Nem,9,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
369,férfi,15-24,Nem,középiskola,egyedül él,8,8,10,10,7,5,"igen, heti rendszerességgel járok templomba",10,5,10,999 RON alatt,Tanuló / diák,igen,9,10,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,9,Nem,Nem,Igen,Nem!,Nem!,Nem!,,
370,férfi,45-54,Igen,felsőfokú,3,9,8,8,6,8,6,nem hiszek semmilyen vallásban vagy teremtőben,9,8,9,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,nem,8,6,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
371,férfi,45-54,Igen,felsőfokú,3,9,9,8,8,10,9,"valamennyire igen, de nem járok templomba",9,9,10,2000 - 2999 RON között,Alkalmazott,igen,9,7,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
372,nő,25-34,Nem,felsőfokú,3,8,6,8,7,8,5,"valamennyire igen, de nem járok templomba",9,8,4,1000 - 1999 RON között,Háztartásbeli,igen,9,3,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
373,nő,45-54,Igen,felsőfokú,2,8,8,9,8,6,7,"nem vagyok vallásos, de hiszek valamiféle teremtő erőben",9,8,8,3000 RON fölött,Alkalmazott,igen,9,6,Igen,Kézdiszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
374,nő,35-44,Igen,felsőfokú,4,9,8,9,8,8,8,"igen, heti rendszerességgel járok templomba",9,9,8,3000 RON fölött,Vállalkozó / cégtulajdonos,igen,8,8,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
375,férfi,55-64,Igen,felsőfokú,3,5,4,9,8,8,5,nem hiszek semmilyen vallásban vagy teremtőben,6,4,10,1000 - 1999 RON között,Alkalmazott,igen,8,5,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,5,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
376,nő,25-34,Nem,felsőfokú,4,8,8,9,7,10,4,"valamennyire igen, évente többször járok templomba",10,8,7,1000 - 1999 RON között,Háztartásbeli,nem,10,8,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
377,nő,25-34,Nem,felsőfokú,4,8,8,9,7,10,4,"valamennyire igen, évente többször járok templomba",10,8,7,1000 - 1999 RON között,Háztartásbeli,nem,10,8,Igen,Csíkszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
