
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
din care:  Diabet zaharat, TOTAL, Anul 2007, Numar persoane, 2289
din care:  Diabet zaharat, TOTAL, Anul 2008, Numar persoane, 2206
din care:  Diabet zaharat, TOTAL, Anul 2009, Numar persoane, 2274
din care:  Diabet zaharat, TOTAL, Anul 2010, Numar persoane, 2450
din care:  Diabet zaharat, TOTAL, Anul 2011, Numar persoane, 2223
din care:  Diabet zaharat, TOTAL, Anul 2012, Numar persoane, 2294
din care:  Diabet zaharat, TOTAL, Anul 2013, Numar persoane, 2219
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 1994, Numar persoane, 276
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 1995, Numar persoane, 229
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 1996, Numar persoane, 241
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 1997, Numar persoane, 218
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 1998, Numar persoane, 225
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 1999, Numar persoane, 217
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2000, Numar persoane, 198
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2001, Numar persoane, 189
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2002, Numar persoane, 197
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2003, Numar persoane, 219
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2004, Numar persoane, 231
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2005, Numar persoane, 186
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2006, Numar persoane, 192
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2007, Numar persoane, 207
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2008, Numar persoane, 200
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2009, Numar persoane, 242
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2010, Numar persoane, 233
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2011, Numar persoane, 160
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2012, Numar persoane, 136
din care:  Diabet zaharat, Regiunea NORD-VEST, Anul 2013, Numar persoane, 106
din care:  Diabet zaharat, Regiunea CENTRU, Anul 1994, Numar persoane, 261
din care:  Diabet zaharat, Regiunea CENTRU, Anul 1995, Numar persoane, 201
din care:  Diabet zaharat, Regiunea CENTRU, Anul 1996, Numar persoane, 226
din care:  Diabet zaharat, Regiunea CENTRU, Anul 1997, Numar persoane, 234
din care:  Diabet zaharat, Regiunea CENTRU, Anul 1998, Numar persoane, 205
din care:  Diabet zaharat, Regiunea CENTRU, Anul 1999, Numar persoane, 228
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2000, Numar persoane, 212
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2001, Numar persoane, 209
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2002, Numar persoane, 269
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2003, Numar persoane, 333
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2004, Numar persoane, 419
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2005, Numar persoane, 365
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2006, Numar persoane, 358
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2007, Numar persoane, 360
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2008, Numar persoane, 373
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2009, Numar persoane, 391
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2010, Numar persoane, 416
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2011, Numar persoane, 430
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2012, Numar persoane, 392
din care:  Diabet zaharat, Regiunea CENTRU, Anul 2013, Numar persoane, 406
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 1994, Numar persoane, 364
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 1995, Numar persoane, 348
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 1996, Numar persoane, 342
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 1997, Numar persoane, 379
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 1998, Numar persoane, 406
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 1999, Numar persoane, 435
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2000, Numar persoane, 406
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2001, Numar persoane, 427
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2002, Numar persoane, 318
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2003, Numar persoane, 360
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2004, Numar persoane, 321
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2005, Numar persoane, 316
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2006, Numar persoane, 298
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2007, Numar persoane, 392
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2008, Numar persoane, 361
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2009, Numar persoane, 407
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2010, Numar persoane, 408
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2011, Numar persoane, 358
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2012, Numar persoane, 433
din care:  Diabet zaharat, Regiunea NORD-EST, Anul 2013, Numar persoane, 465
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 1994, Numar persoane, 266
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 1995, Numar persoane, 204
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 1996, Numar persoane, 212
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 1997, Numar persoane, 189
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 1998, Numar persoane, 230
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 1999, Numar persoane, 229
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2000, Numar persoane, 275
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2001, Numar persoane, 245
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2002, Numar persoane, 286
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2003, Numar persoane, 335
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2004, Numar persoane, 344
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2005, Numar persoane, 377
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2006, Numar persoane, 370
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2007, Numar persoane, 422
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2008, Numar persoane, 460
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2009, Numar persoane, 373
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2010, Numar persoane, 387
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2011, Numar persoane, 336
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2012, Numar persoane, 406
din care:  Diabet zaharat, Regiunea SUD-EST, Anul 2013, Numar persoane, 411
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 286
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 247
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 202
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 214
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 208
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 221
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 216
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 207
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 278
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 313
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 310
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 297
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 321
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 341
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 333
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 345
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 417
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 376
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 390
din care:  Diabet zaharat, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 405
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 344
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 260
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 245
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 249
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 228
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 259
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 239
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 235
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 189
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 230
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 191
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 236
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 173
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 198
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 168
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 152
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 163
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 144
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 134
din care:  Diabet zaharat, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 100
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 123
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 129
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 135
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 142
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 129
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 160
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 110
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 102
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 121
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 121
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 141
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 171
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 199
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 179
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 160
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 167
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 199
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 210
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 198
din care:  Diabet zaharat, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 178
din care:  Diabet zaharat, Regiunea VEST, Anul 1994, Numar persoane, 257
din care:  Diabet zaharat, Regiunea VEST, Anul 1995, Numar persoane, 234
din care:  Diabet zaharat, Regiunea VEST, Anul 1996, Numar persoane, 220
din care:  Diabet zaharat, Regiunea VEST, Anul 1997, Numar persoane, 239
din care:  Diabet zaharat, Regiunea VEST, Anul 1998, Numar persoane, 202
din care:  Diabet zaharat, Regiunea VEST, Anul 1999, Numar persoane, 218
din care:  Diabet zaharat, Regiunea VEST, Anul 2000, Numar persoane, 215
din care:  Diabet zaharat, Regiunea VEST, Anul 2001, Numar persoane, 195
din care:  Diabet zaharat, Regiunea VEST, Anul 2002, Numar persoane, 209
din care:  Diabet zaharat, Regiunea VEST, Anul 2003, Numar persoane, 213
din care:  Diabet zaharat, Regiunea VEST, Anul 2004, Numar persoane, 225
din care:  Diabet zaharat, Regiunea VEST, Anul 2005, Numar persoane, 175
din care:  Diabet zaharat, Regiunea VEST, Anul 2006, Numar persoane, 208
din care:  Diabet zaharat, Regiunea VEST, Anul 2007, Numar persoane, 190
din care:  Diabet zaharat, Regiunea VEST, Anul 2008, Numar persoane, 151
din care:  Diabet zaharat, Regiunea VEST, Anul 2009, Numar persoane, 197
din care:  Diabet zaharat, Regiunea VEST, Anul 2010, Numar persoane, 227
din care:  Diabet zaharat, Regiunea VEST, Anul 2011, Numar persoane, 209
din care:  Diabet zaharat, Regiunea VEST, Anul 2012, Numar persoane, 205
din care:  Diabet zaharat, Regiunea VEST, Anul 2013, Numar persoane, 148
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), TOTAL, Anul 1990, Numar persoane, 3473
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), TOTAL, Anul 1991, Numar persoane, 3119
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), TOTAL, Anul 1992, Numar persoane, 3521
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), TOTAL, Anul 1993, Numar persoane, 3583
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-VEST, Anul 1990, Numar persoane, 459
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-VEST, Anul 1991, Numar persoane, 453
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-VEST, Anul 1992, Numar persoane, 512
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-VEST, Anul 1993, Numar persoane, 577
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea CENTRU, Anul 1990, Numar persoane, 330
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea CENTRU, Anul 1991, Numar persoane, 316
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea CENTRU, Anul 1992, Numar persoane, 420
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea CENTRU, Anul 1993, Numar persoane, 380
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-EST, Anul 1990, Numar persoane, 647
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-EST, Anul 1991, Numar persoane, 622
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-EST, Anul 1992, Numar persoane, 703
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea NORD-EST, Anul 1993, Numar persoane, 674
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-EST, Anul 1990, Numar persoane, 606
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-EST, Anul 1991, Numar persoane, 405
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-EST, Anul 1992, Numar persoane, 416
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-EST, Anul 1993, Numar persoane, 492
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 464
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 462
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 504
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 489
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 302
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 261
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 291
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 284
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 351
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 295
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 370
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 362
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea VEST, Anul 1990, Numar persoane, 314
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea VEST, Anul 1991, Numar persoane, 305
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea VEST, Anul 1992, Numar persoane, 305
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Regiunea VEST, Anul 1993, Numar persoane, 325
Tulburari mentale si de comportament, TOTAL, Anul 1994, Numar persoane, 1995
Tulburari mentale si de comportament, TOTAL, Anul 1995, Numar persoane, 2062
Tulburari mentale si de comportament, TOTAL, Anul 1996, Numar persoane, 2080
Tulburari mentale si de comportament, TOTAL, Anul 1997, Numar persoane, 2404
Tulburari mentale si de comportament, TOTAL, Anul 1998, Numar persoane, 1784
Tulburari mentale si de comportament, TOTAL, Anul 1999, Numar persoane, 1373
Tulburari mentale si de comportament, TOTAL, Anul 2000, Numar persoane, 1208
Tulburari mentale si de comportament, TOTAL, Anul 2001, Numar persoane, 1069
Tulburari mentale si de comportament, TOTAL, Anul 2002, Numar persoane, 1214
Tulburari mentale si de comportament, TOTAL, Anul 2003, Numar persoane, 1109
Tulburari mentale si de comportament, TOTAL, Anul 2004, Numar persoane, 911
Tulburari mentale si de comportament, TOTAL, Anul 2005, Numar persoane, 697
Tulburari mentale si de comportament, TOTAL, Anul 2006, Numar persoane, 563
Tulburari mentale si de comportament, TOTAL, Anul 2007, Numar persoane, 588
Tulburari mentale si de comportament, TOTAL, Anul 2008, Numar persoane, 593
Tulburari mentale si de comportament, TOTAL, Anul 2009, Numar persoane, 618
Tulburari mentale si de comportament, TOTAL, Anul 2010, Numar persoane, 618
Tulburari mentale si de comportament, TOTAL, Anul 2011, Numar persoane, 427
Tulburari mentale si de comportament, TOTAL, Anul 2012, Numar persoane, 347
Tulburari mentale si de comportament, TOTAL, Anul 2013, Numar persoane, 346
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1994, Numar persoane, 377
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1995, Numar persoane, 360
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1996, Numar persoane, 290
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1997, Numar persoane, 308
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1998, Numar persoane, 213
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1999, Numar persoane, 112
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2000, Numar persoane, 103
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2001, Numar persoane, 92
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2002, Numar persoane, 100
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2003, Numar persoane, 101
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2004, Numar persoane, 101
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2005, Numar persoane, 51
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2006, Numar persoane, 49
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2007, Numar persoane, 46
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2008, Numar persoane, 50
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2009, Numar persoane, 50
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2010, Numar persoane, 54
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2011, Numar persoane, 24
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2012, Numar persoane, 25
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2013, Numar persoane, 27
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1994, Numar persoane, 157
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1995, Numar persoane, 205
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1996, Numar persoane, 161
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1997, Numar persoane, 193
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1998, Numar persoane, 146
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1999, Numar persoane, 140
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2000, Numar persoane, 109
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2001, Numar persoane, 83
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2002, Numar persoane, 82
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2003, Numar persoane, 90
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2004, Numar persoane, 52
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2005, Numar persoane, 45
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2006, Numar persoane, 29
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2007, Numar persoane, 34
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2008, Numar persoane, 34
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2009, Numar persoane, 33
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2010, Numar persoane, 32
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2011, Numar persoane, 34
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2012, Numar persoane, 20
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2013, Numar persoane, 23
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1994, Numar persoane, 380
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1995, Numar persoane, 380
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1996, Numar persoane, 405
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1997, Numar persoane, 475
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1998, Numar persoane, 340
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1999, Numar persoane, 286
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2000, Numar persoane, 259
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2001, Numar persoane, 273
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2002, Numar persoane, 356
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2003, Numar persoane, 334
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2004, Numar persoane, 222
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2005, Numar persoane, 181
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2006, Numar persoane, 141
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2007, Numar persoane, 157
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2008, Numar persoane, 160
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2009, Numar persoane, 156
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2010, Numar persoane, 152
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2011, Numar persoane, 89
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2012, Numar persoane, 95
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2013, Numar persoane, 70
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1994, Numar persoane, 332
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1995, Numar persoane, 340
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1996, Numar persoane, 375
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1997, Numar persoane, 416
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1998, Numar persoane, 282
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1999, Numar persoane, 234
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2000, Numar persoane, 222
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2001, Numar persoane, 240
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2002, Numar persoane, 261
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2003, Numar persoane, 218
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2004, Numar persoane, 231
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2005, Numar persoane, 189
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2006, Numar persoane, 125
