
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2009, Numar persoane, 2073
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2010, Numar persoane, 2564
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2011, Numar persoane, 2778
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, TOTAL, Anul 2012, Numar persoane, 3180
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 1999, Numar persoane, 19
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2000, Numar persoane, 23
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2001, Numar persoane, 16
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2002, Numar persoane, 20
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2003, Numar persoane, 16
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2004, Numar persoane, 28
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2005, Numar persoane, 18
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2006, Numar persoane, 24
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2007, Numar persoane, 22
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2008, Numar persoane, 20
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2009, Numar persoane, 30
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2010, Numar persoane, 22
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2011, Numar persoane, 17
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Covasna, Anul 2012, Numar persoane, 32
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 1999, Numar persoane, 21
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2000, Numar persoane, 21
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2001, Numar persoane, 25
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2002, Numar persoane, 17
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2003, Numar persoane, 35
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2004, Numar persoane, 15
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2005, Numar persoane, 26
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2006, Numar persoane, 39
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2007, Numar persoane, 26
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2008, Numar persoane, 30
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2009, Numar persoane, 20
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2010, Numar persoane, 19
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2011, Numar persoane, 16
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Harghita, Anul 2012, Numar persoane, 21
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 1999, Numar persoane, 59
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2000, Numar persoane, 63
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2001, Numar persoane, 42
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2002, Numar persoane, 64
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2003, Numar persoane, 75
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2004, Numar persoane, 67
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2005, Numar persoane, 91
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2006, Numar persoane, 83
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2007, Numar persoane, 105
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2008, Numar persoane, 101
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2009, Numar persoane, 103
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2010, Numar persoane, 155
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2011, Numar persoane, 149
Boli ale sistemului nervos  boli ale ochiului si anexele sale  boli ale urechii si apofizei mastoide, Mures, Anul 2012, Numar persoane, 178
Boli ale aparatului circulator, TOTAL, Anul 1999, Numar persoane, 165511
Boli ale aparatului circulator, TOTAL, Anul 2000, Numar persoane, 157448
Boli ale aparatului circulator, TOTAL, Anul 2001, Numar persoane, 159240
Boli ale aparatului circulator, TOTAL, Anul 2002, Numar persoane, 167358
Boli ale aparatului circulator, TOTAL, Anul 2003, Numar persoane, 165625
Boli ale aparatului circulator, TOTAL, Anul 2004, Numar persoane, 159253
Boli ale aparatului circulator, TOTAL, Anul 2005, Numar persoane, 162997
Boli ale aparatului circulator, TOTAL, Anul 2006, Numar persoane, 160326
Boli ale aparatului circulator, TOTAL, Anul 2007, Numar persoane, 154516
Boli ale aparatului circulator, TOTAL, Anul 2008, Numar persoane, 153137
Boli ale aparatului circulator, TOTAL, Anul 2009, Numar persoane, 154541
Boli ale aparatului circulator, TOTAL, Anul 2010, Numar persoane, 156359
Boli ale aparatului circulator, TOTAL, Anul 2011, Numar persoane, 151538
Boli ale aparatului circulator, TOTAL, Anul 2012, Numar persoane, 153371
Boli ale aparatului circulator, Covasna, Anul 1999, Numar persoane, 1549
Boli ale aparatului circulator, Covasna, Anul 2000, Numar persoane, 1493
Boli ale aparatului circulator, Covasna, Anul 2001, Numar persoane, 1412
Boli ale aparatului circulator, Covasna, Anul 2002, Numar persoane, 1613
Boli ale aparatului circulator, Covasna, Anul 2003, Numar persoane, 1597
Boli ale aparatului circulator, Covasna, Anul 2004, Numar persoane, 1539
Boli ale aparatului circulator, Covasna, Anul 2005, Numar persoane, 1470
Boli ale aparatului circulator, Covasna, Anul 2006, Numar persoane, 1619
Boli ale aparatului circulator, Covasna, Anul 2007, Numar persoane, 1497
Boli ale aparatului circulator, Covasna, Anul 2008, Numar persoane, 1488
Boli ale aparatului circulator, Covasna, Anul 2009, Numar persoane, 1506
Boli ale aparatului circulator, Covasna, Anul 2010, Numar persoane, 1558
Boli ale aparatului circulator, Covasna, Anul 2011, Numar persoane, 1510
Boli ale aparatului circulator, Covasna, Anul 2012, Numar persoane, 1446
Boli ale aparatului circulator, Harghita, Anul 1999, Numar persoane, 2539
Boli ale aparatului circulator, Harghita, Anul 2000, Numar persoane, 2416
Boli ale aparatului circulator, Harghita, Anul 2001, Numar persoane, 2394
Boli ale aparatului circulator, Harghita, Anul 2002, Numar persoane, 2555
Boli ale aparatului circulator, Harghita, Anul 2003, Numar persoane, 2496
Boli ale aparatului circulator, Harghita, Anul 2004, Numar persoane, 2409
Boli ale aparatului circulator, Harghita, Anul 2005, Numar persoane, 2446
Boli ale aparatului circulator, Harghita, Anul 2006, Numar persoane, 2533
Boli ale aparatului circulator, Harghita, Anul 2007, Numar persoane, 2219
Boli ale aparatului circulator, Harghita, Anul 2008, Numar persoane, 2292
Boli ale aparatului circulator, Harghita, Anul 2009, Numar persoane, 2286
Boli ale aparatului circulator, Harghita, Anul 2010, Numar persoane, 2290
Boli ale aparatului circulator, Harghita, Anul 2011, Numar persoane, 2246
Boli ale aparatului circulator, Harghita, Anul 2012, Numar persoane, 2180
Boli ale aparatului circulator, Mures, Anul 1999, Numar persoane, 4481
Boli ale aparatului circulator, Mures, Anul 2000, Numar persoane, 4010
Boli ale aparatului circulator, Mures, Anul 2001, Numar persoane, 4246
Boli ale aparatului circulator, Mures, Anul 2002, Numar persoane, 4626
Boli ale aparatului circulator, Mures, Anul 2003, Numar persoane, 4282
Boli ale aparatului circulator, Mures, Anul 2004, Numar persoane, 3930
Boli ale aparatului circulator, Mures, Anul 2005, Numar persoane, 4074
Boli ale aparatului circulator, Mures, Anul 2006, Numar persoane, 4003
Boli ale aparatului circulator, Mures, Anul 2007, Numar persoane, 3813
Boli ale aparatului circulator, Mures, Anul 2008, Numar persoane, 3584
Boli ale aparatului circulator, Mures, Anul 2009, Numar persoane, 3650
Boli ale aparatului circulator, Mures, Anul 2010, Numar persoane, 3621
Boli ale aparatului circulator, Mures, Anul 2011, Numar persoane, 3604
Boli ale aparatului circulator, Mures, Anul 2012, Numar persoane, 3420
din care:   Boala ischemica a inimii, TOTAL, Anul 1999, Numar persoane, 57635
din care:   Boala ischemica a inimii, TOTAL, Anul 2000, Numar persoane, 54427
din care:   Boala ischemica a inimii, TOTAL, Anul 2001, Numar persoane, 54868
din care:   Boala ischemica a inimii, TOTAL, Anul 2002, Numar persoane, 56509
din care:   Boala ischemica a inimii, TOTAL, Anul 2003, Numar persoane, 55180
din care:   Boala ischemica a inimii, TOTAL, Anul 2004, Numar persoane, 53820
din care:   Boala ischemica a inimii, TOTAL, Anul 2005, Numar persoane, 54645
din care:   Boala ischemica a inimii, TOTAL, Anul 2006, Numar persoane, 54617
din care:   Boala ischemica a inimii, TOTAL, Anul 2007, Numar persoane, 52955
din care:   Boala ischemica a inimii, TOTAL, Anul 2008, Numar persoane, 52534
din care:   Boala ischemica a inimii, TOTAL, Anul 2009, Numar persoane, 52275
din care:   Boala ischemica a inimii, TOTAL, Anul 2010, Numar persoane, 53297
din care:   Boala ischemica a inimii, TOTAL, Anul 2011, Numar persoane, 50865
din care:   Boala ischemica a inimii, TOTAL, Anul 2012, Numar persoane, 51467
din care:   Boala ischemica a inimii, Covasna, Anul 1999, Numar persoane, 738
din care:   Boala ischemica a inimii, Covasna, Anul 2000, Numar persoane, 628
din care:   Boala ischemica a inimii, Covasna, Anul 2001, Numar persoane, 558
din care:   Boala ischemica a inimii, Covasna, Anul 2002, Numar persoane, 697
din care:   Boala ischemica a inimii, Covasna, Anul 2003, Numar persoane, 787
din care:   Boala ischemica a inimii, Covasna, Anul 2004, Numar persoane, 711
din care:   Boala ischemica a inimii, Covasna, Anul 2005, Numar persoane, 635
din care:   Boala ischemica a inimii, Covasna, Anul 2006, Numar persoane, 768
din care:   Boala ischemica a inimii, Covasna, Anul 2007, Numar persoane, 730
din care:   Boala ischemica a inimii, Covasna, Anul 2008, Numar persoane, 761
din care:   Boala ischemica a inimii, Covasna, Anul 2009, Numar persoane, 742
din care:   Boala ischemica a inimii, Covasna, Anul 2010, Numar persoane, 769
din care:   Boala ischemica a inimii, Covasna, Anul 2011, Numar persoane, 742
din care:   Boala ischemica a inimii, Covasna, Anul 2012, Numar persoane, 735
din care:   Boala ischemica a inimii, Harghita, Anul 1999, Numar persoane, 1243
din care:   Boala ischemica a inimii, Harghita, Anul 2000, Numar persoane, 1075
din care:   Boala ischemica a inimii, Harghita, Anul 2001, Numar persoane, 1012
din care:   Boala ischemica a inimii, Harghita, Anul 2002, Numar persoane, 1038
din care:   Boala ischemica a inimii, Harghita, Anul 2003, Numar persoane, 1007
din care:   Boala ischemica a inimii, Harghita, Anul 2004, Numar persoane, 994
din care:   Boala ischemica a inimii, Harghita, Anul 2005, Numar persoane, 1088
din care:   Boala ischemica a inimii, Harghita, Anul 2006, Numar persoane, 1147
din care:   Boala ischemica a inimii, Harghita, Anul 2007, Numar persoane, 1013
din care:   Boala ischemica a inimii, Harghita, Anul 2008, Numar persoane, 966
din care:   Boala ischemica a inimii, Harghita, Anul 2009, Numar persoane, 1076
din care:   Boala ischemica a inimii, Harghita, Anul 2010, Numar persoane, 998
din care:   Boala ischemica a inimii, Harghita, Anul 2011, Numar persoane, 962
din care:   Boala ischemica a inimii, Harghita, Anul 2012, Numar persoane, 938
din care:   Boala ischemica a inimii, Mures, Anul 1999, Numar persoane, 2182
din care:   Boala ischemica a inimii, Mures, Anul 2000, Numar persoane, 1838
din care:   Boala ischemica a inimii, Mures, Anul 2001, Numar persoane, 2142
din care:   Boala ischemica a inimii, Mures, Anul 2002, Numar persoane, 2275
din care:   Boala ischemica a inimii, Mures, Anul 2003, Numar persoane, 2167
din care:   Boala ischemica a inimii, Mures, Anul 2004, Numar persoane, 1946
din care:   Boala ischemica a inimii, Mures, Anul 2005, Numar persoane, 2124
din care:   Boala ischemica a inimii, Mures, Anul 2006, Numar persoane, 2164
din care:   Boala ischemica a inimii, Mures, Anul 2007, Numar persoane, 2126
din care:   Boala ischemica a inimii, Mures, Anul 2008, Numar persoane, 1999
din care:   Boala ischemica a inimii, Mures, Anul 2009, Numar persoane, 2016
din care:   Boala ischemica a inimii, Mures, Anul 2010, Numar persoane, 1963
din care:   Boala ischemica a inimii, Mures, Anul 2011, Numar persoane, 1965
din care:   Boala ischemica a inimii, Mures, Anul 2012, Numar persoane, 1916
din care:  Boli cerebro-vasculare, TOTAL, Anul 1999, Numar persoane, 54245
din care:  Boli cerebro-vasculare, TOTAL, Anul 2000, Numar persoane, 51998
din care:  Boli cerebro-vasculare, TOTAL, Anul 2001, Numar persoane, 52774
din care:  Boli cerebro-vasculare, TOTAL, Anul 2002, Numar persoane, 55210
din care:  Boli cerebro-vasculare, TOTAL, Anul 2003, Numar persoane, 55423
din care:  Boli cerebro-vasculare, TOTAL, Anul 2004, Numar persoane, 54011
din care:  Boli cerebro-vasculare, TOTAL, Anul 2005, Numar persoane, 55884
din care:  Boli cerebro-vasculare, TOTAL, Anul 2006, Numar persoane, 54541
din care:  Boli cerebro-vasculare, TOTAL, Anul 2007, Numar persoane, 51023
din care:  Boli cerebro-vasculare, TOTAL, Anul 2008, Numar persoane, 48582
din care:  Boli cerebro-vasculare, TOTAL, Anul 2009, Numar persoane, 48807
din care:  Boli cerebro-vasculare, TOTAL, Anul 2010, Numar persoane, 49305
din care:  Boli cerebro-vasculare, TOTAL, Anul 2011, Numar persoane, 47573
din care:  Boli cerebro-vasculare, TOTAL, Anul 2012, Numar persoane, 47402
din care:  Boli cerebro-vasculare, Covasna, Anul 1999, Numar persoane, 443
din care:  Boli cerebro-vasculare, Covasna, Anul 2000, Numar persoane, 491
din care:  Boli cerebro-vasculare, Covasna, Anul 2001, Numar persoane, 507
din care:  Boli cerebro-vasculare, Covasna, Anul 2002, Numar persoane, 527
din care:  Boli cerebro-vasculare, Covasna, Anul 2003, Numar persoane, 452
din care:  Boli cerebro-vasculare, Covasna, Anul 2004, Numar persoane, 346
din care:  Boli cerebro-vasculare, Covasna, Anul 2005, Numar persoane, 386
din care:  Boli cerebro-vasculare, Covasna, Anul 2006, Numar persoane, 480
din care:  Boli cerebro-vasculare, Covasna, Anul 2007, Numar persoane, 449
din care:  Boli cerebro-vasculare, Covasna, Anul 2008, Numar persoane, 415
din care:  Boli cerebro-vasculare, Covasna, Anul 2009, Numar persoane, 454
din care:  Boli cerebro-vasculare, Covasna, Anul 2010, Numar persoane, 495
din care:  Boli cerebro-vasculare, Covasna, Anul 2011, Numar persoane, 466
din care:  Boli cerebro-vasculare, Covasna, Anul 2012, Numar persoane, 427
din care:  Boli cerebro-vasculare, Harghita, Anul 1999, Numar persoane, 662
din care:  Boli cerebro-vasculare, Harghita, Anul 2000, Numar persoane, 657
din care:  Boli cerebro-vasculare, Harghita, Anul 2001, Numar persoane, 666
din care:  Boli cerebro-vasculare, Harghita, Anul 2002, Numar persoane, 757
din care:  Boli cerebro-vasculare, Harghita, Anul 2003, Numar persoane, 678
din care:  Boli cerebro-vasculare, Harghita, Anul 2004, Numar persoane, 633
din care:  Boli cerebro-vasculare, Harghita, Anul 2005, Numar persoane, 663
din care:  Boli cerebro-vasculare, Harghita, Anul 2006, Numar persoane, 708
din care:  Boli cerebro-vasculare, Harghita, Anul 2007, Numar persoane, 612
din care:  Boli cerebro-vasculare, Harghita, Anul 2008, Numar persoane, 689
din care:  Boli cerebro-vasculare, Harghita, Anul 2009, Numar persoane, 543
din care:  Boli cerebro-vasculare, Harghita, Anul 2010, Numar persoane, 610
din care:  Boli cerebro-vasculare, Harghita, Anul 2011, Numar persoane, 607
din care:  Boli cerebro-vasculare, Harghita, Anul 2012, Numar persoane, 573
din care:  Boli cerebro-vasculare, Mures, Anul 1999, Numar persoane, 1210
din care:  Boli cerebro-vasculare, Mures, Anul 2000, Numar persoane, 1227
din care:  Boli cerebro-vasculare, Mures, Anul 2001, Numar persoane, 1293
din care:  Boli cerebro-vasculare, Mures, Anul 2002, Numar persoane, 1390
din care:  Boli cerebro-vasculare, Mures, Anul 2003, Numar persoane, 1236
din care:  Boli cerebro-vasculare, Mures, Anul 2004, Numar persoane, 1160
din care:  Boli cerebro-vasculare, Mures, Anul 2005, Numar persoane, 1260
din care:  Boli cerebro-vasculare, Mures, Anul 2006, Numar persoane, 1259
din care:  Boli cerebro-vasculare, Mures, Anul 2007, Numar persoane, 1117
din care:  Boli cerebro-vasculare, Mures, Anul 2008, Numar persoane, 1066
din care:  Boli cerebro-vasculare, Mures, Anul 2009, Numar persoane, 908
din care:  Boli cerebro-vasculare, Mures, Anul 2010, Numar persoane, 940
din care:  Boli cerebro-vasculare, Mures, Anul 2011, Numar persoane, 930
din care:  Boli cerebro-vasculare, Mures, Anul 2012, Numar persoane, 871
Boli ale aparatului respirator, TOTAL, Anul 1999, Numar persoane, 16716
Boli ale aparatului respirator, TOTAL, Anul 2000, Numar persoane, 14824
Boli ale aparatului respirator, TOTAL, Anul 2001, Numar persoane, 14088
Boli ale aparatului respirator, TOTAL, Anul 2002, Numar persoane, 15325
Boli ale aparatului respirator, TOTAL, Anul 2003, Numar persoane, 14058
Boli ale aparatului respirator, TOTAL, Anul 2004, Numar persoane, 13678
Boli ale aparatului respirator, TOTAL, Anul 2005, Numar persoane, 13351
Boli ale aparatului respirator, TOTAL, Anul 2006, Numar persoane, 12673
Boli ale aparatului respirator, TOTAL, Anul 2007, Numar persoane, 12657
Boli ale aparatului respirator, TOTAL, Anul 2008, Numar persoane, 12310
Boli ale aparatului respirator, TOTAL, Anul 2009, Numar persoane, 12892
Boli ale aparatului respirator, TOTAL, Anul 2010, Numar persoane, 12733
Boli ale aparatului respirator, TOTAL, Anul 2011, Numar persoane, 12460
Boli ale aparatului respirator, TOTAL, Anul 2012, Numar persoane, 13253
Boli ale aparatului respirator, Covasna, Anul 1999, Numar persoane, 155
Boli ale aparatului respirator, Covasna, Anul 2000, Numar persoane, 115
Boli ale aparatului respirator, Covasna, Anul 2001, Numar persoane, 138
Boli ale aparatului respirator, Covasna, Anul 2002, Numar persoane, 149
Boli ale aparatului respirator, Covasna, Anul 2003, Numar persoane, 116
Boli ale aparatului respirator, Covasna, Anul 2004, Numar persoane, 129
Boli ale aparatului respirator, Covasna, Anul 2005, Numar persoane, 118
Boli ale aparatului respirator, Covasna, Anul 2006, Numar persoane, 110
Boli ale aparatului respirator, Covasna, Anul 2007, Numar persoane, 112
Boli ale aparatului respirator, Covasna, Anul 2008, Numar persoane, 130
Boli ale aparatului respirator, Covasna, Anul 2009, Numar persoane, 117
Boli ale aparatului respirator, Covasna, Anul 2010, Numar persoane, 111
Boli ale aparatului respirator, Covasna, Anul 2011, Numar persoane, 98
Boli ale aparatului respirator, Covasna, Anul 2012, Numar persoane, 106
Boli ale aparatului respirator, Harghita, Anul 1999, Numar persoane, 202
Boli ale aparatului respirator, Harghita, Anul 2000, Numar persoane, 172
Boli ale aparatului respirator, Harghita, Anul 2001, Numar persoane, 204
Boli ale aparatului respirator, Harghita, Anul 2002, Numar persoane, 213
Boli ale aparatului respirator, Harghita, Anul 2003, Numar persoane, 198
Boli ale aparatului respirator, Harghita, Anul 2004, Numar persoane, 233
Boli ale aparatului respirator, Harghita, Anul 2005, Numar persoane, 175
Boli ale aparatului respirator, Harghita, Anul 2006, Numar persoane, 198
Boli ale aparatului respirator, Harghita, Anul 2007, Numar persoane, 192
Boli ale aparatului respirator, Harghita, Anul 2008, Numar persoane, 213
Boli ale aparatului respirator, Harghita, Anul 2009, Numar persoane, 231
Boli ale aparatului respirator, Harghita, Anul 2010, Numar persoane, 220
Boli ale aparatului respirator, Harghita, Anul 2011, Numar persoane, 187
Boli ale aparatului respirator, Harghita, Anul 2012, Numar persoane, 211
Boli ale aparatului respirator, Mures, Anul 1999, Numar persoane, 458
Boli ale aparatului respirator, Mures, Anul 2000, Numar persoane, 366
Boli ale aparatului respirator, Mures, Anul 2001, Numar persoane, 353
Boli ale aparatului respirator, Mures, Anul 2002, Numar persoane, 397
Boli ale aparatului respirator, Mures, Anul 2003, Numar persoane, 379
Boli ale aparatului respirator, Mures, Anul 2004, Numar persoane, 559
Boli ale aparatului respirator, Mures, Anul 2005, Numar persoane, 506
Boli ale aparatului respirator, Mures, Anul 2006, Numar persoane, 581
Boli ale aparatului respirator, Mures, Anul 2007, Numar persoane, 440
Boli ale aparatului respirator, Mures, Anul 2008, Numar persoane, 524
Boli ale aparatului respirator, Mures, Anul 2009, Numar persoane, 544
Boli ale aparatului respirator, Mures, Anul 2010, Numar persoane, 577
Boli ale aparatului respirator, Mures, Anul 2011, Numar persoane, 497
Boli ale aparatului respirator, Mures, Anul 2012, Numar persoane, 534
Boli ale aparatului digestiv, TOTAL, Anul 1999, Numar persoane, 14702
Boli ale aparatului digestiv, TOTAL, Anul 2000, Numar persoane, 14349
Boli ale aparatului digestiv, TOTAL, Anul 2001, Numar persoane, 15830
Boli ale aparatului digestiv, TOTAL, Anul 2002, Numar persoane, 16121
Boli ale aparatului digestiv, TOTAL, Anul 2003, Numar persoane, 15532
Boli ale aparatului digestiv, TOTAL, Anul 2004, Numar persoane, 15119
Boli ale aparatului digestiv, TOTAL, Anul 2005, Numar persoane, 14713
Boli ale aparatului digestiv, TOTAL, Anul 2006, Numar persoane, 14205
Boli ale aparatului digestiv, TOTAL, Anul 2007, Numar persoane, 14568
Boli ale aparatului digestiv, TOTAL, Anul 2008, Numar persoane, 15454
Boli ale aparatului digestiv, TOTAL, Anul 2009, Numar persoane, 16457
Boli ale aparatului digestiv, TOTAL, Anul 2010, Numar persoane, 16604
Boli ale aparatului digestiv, TOTAL, Anul 2011, Numar persoane, 14499
Boli ale aparatului digestiv, TOTAL, Anul 2012, Numar persoane, 14471
Boli ale aparatului digestiv, Covasna, Anul 1999, Numar persoane, 131
Boli ale aparatului digestiv, Covasna, Anul 2000, Numar persoane, 115
Boli ale aparatului digestiv, Covasna, Anul 2001, Numar persoane, 117
Boli ale aparatului digestiv, Covasna, Anul 2002, Numar persoane, 118
Boli ale aparatului digestiv, Covasna, Anul 2003, Numar persoane, 139
Boli ale aparatului digestiv, Covasna, Anul 2004, Numar persoane, 107
Boli ale aparatului digestiv, Covasna, Anul 2005, Numar persoane, 111
Boli ale aparatului digestiv, Covasna, Anul 2006, Numar persoane, 125
Boli ale aparatului digestiv, Covasna, Anul 2007, Numar persoane, 94
Boli ale aparatului digestiv, Covasna, Anul 2008, Numar persoane, 151
Boli ale aparatului digestiv, Covasna, Anul 2009, Numar persoane, 131
Boli ale aparatului digestiv, Covasna, Anul 2010, Numar persoane, 107
Boli ale aparatului digestiv, Covasna, Anul 2011, Numar persoane, 92
Boli ale aparatului digestiv, Covasna, Anul 2012, Numar persoane, 124
Boli ale aparatului digestiv, Harghita, Anul 1999, Numar persoane, 141
Boli ale aparatului digestiv, Harghita, Anul 2000, Numar persoane, 136
Boli ale aparatului digestiv, Harghita, Anul 2001, Numar persoane, 141
Boli ale aparatului digestiv, Harghita, Anul 2002, Numar persoane, 162
Boli ale aparatului digestiv, Harghita, Anul 2003, Numar persoane, 143
Boli ale aparatului digestiv, Harghita, Anul 2004, Numar persoane, 124
Boli ale aparatului digestiv, Harghita, Anul 2005, Numar persoane, 133
Boli ale aparatului digestiv, Harghita, Anul 2006, Numar persoane, 141
Boli ale aparatului digestiv, Harghita, Anul 2007, Numar persoane, 138
Boli ale aparatului digestiv, Harghita, Anul 2008, Numar persoane, 153
Boli ale aparatului digestiv, Harghita, Anul 2009, Numar persoane, 169
Boli ale aparatului digestiv, Harghita, Anul 2010, Numar persoane, 168
Boli ale aparatului digestiv, Harghita, Anul 2011, Numar persoane, 145
Boli ale aparatului digestiv, Harghita, Anul 2012, Numar persoane, 122
Boli ale aparatului digestiv, Mures, Anul 1999, Numar persoane, 327
Boli ale aparatului digestiv, Mures, Anul 2000, Numar persoane, 304
Boli ale aparatului digestiv, Mures, Anul 2001, Numar persoane, 293
Boli ale aparatului digestiv, Mures, Anul 2002, Numar persoane, 353
Boli ale aparatului digestiv, Mures, Anul 2003, Numar persoane, 311
Boli ale aparatului digestiv, Mures, Anul 2004, Numar persoane, 309
Boli ale aparatului digestiv, Mures, Anul 2005, Numar persoane, 290
Boli ale aparatului digestiv, Mures, Anul 2006, Numar persoane, 300
Boli ale aparatului digestiv, Mures, Anul 2007, Numar persoane, 356
Boli ale aparatului digestiv, Mures, Anul 2008, Numar persoane, 361
Boli ale aparatului digestiv, Mures, Anul 2009, Numar persoane, 389
Boli ale aparatului digestiv, Mures, Anul 2010, Numar persoane, 379
Boli ale aparatului digestiv, Mures, Anul 2011, Numar persoane, 307
Boli ale aparatului digestiv, Mures, Anul 2012, Numar persoane, 306
Boli ale aparatului genito-urinar, TOTAL, Anul 1999, Numar persoane, 2601
Boli ale aparatului genito-urinar, TOTAL, Anul 2000, Numar persoane, 2388
Boli ale aparatului genito-urinar, TOTAL, Anul 2001, Numar persoane, 2326
Boli ale aparatului genito-urinar, TOTAL, Anul 2002, Numar persoane, 2380
Boli ale aparatului genito-urinar, TOTAL, Anul 2003, Numar persoane, 2501
Boli ale aparatului genito-urinar, TOTAL, Anul 2004, Numar persoane, 2217
Boli ale aparatului genito-urinar, TOTAL, Anul 2005, Numar persoane, 2376
Boli ale aparatului genito-urinar, TOTAL, Anul 2006, Numar persoane, 2366
Boli ale aparatului genito-urinar, TOTAL, Anul 2007, Numar persoane, 2294
Boli ale aparatului genito-urinar, TOTAL, Anul 2008, Numar persoane, 2425
Boli ale aparatului genito-urinar, TOTAL, Anul 2009, Numar persoane, 2465
