
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, 65-69 ani, Covasna, Anul 2010, Numar persoane, 249
Total, 65-69 ani, Covasna, Anul 2011, Numar persoane, 249
Total, 65-69 ani, Covasna, Anul 2012, Numar persoane, 204
Total, 65-69 ani, Harghita, Anul 1999, Numar persoane, 366
Total, 65-69 ani, Harghita, Anul 2000, Numar persoane, 389
Total, 65-69 ani, Harghita, Anul 2001, Numar persoane, 382
Total, 65-69 ani, Harghita, Anul 2002, Numar persoane, 420
Total, 65-69 ani, Harghita, Anul 2003, Numar persoane, 375
Total, 65-69 ani, Harghita, Anul 2004, Numar persoane, 368
Total, 65-69 ani, Harghita, Anul 2005, Numar persoane, 360
Total, 65-69 ani, Harghita, Anul 2006, Numar persoane, 337
Total, 65-69 ani, Harghita, Anul 2007, Numar persoane, 368
Total, 65-69 ani, Harghita, Anul 2008, Numar persoane, 361
Total, 65-69 ani, Harghita, Anul 2009, Numar persoane, 335
Total, 65-69 ani, Harghita, Anul 2010, Numar persoane, 341
Total, 65-69 ani, Harghita, Anul 2011, Numar persoane, 341
Total, 65-69 ani, Harghita, Anul 2012, Numar persoane, 298
Total, 65-69 ani, Mures, Anul 1999, Numar persoane, 918
Total, 65-69 ani, Mures, Anul 2000, Numar persoane, 792
Total, 65-69 ani, Mures, Anul 2001, Numar persoane, 852
Total, 65-69 ani, Mures, Anul 2002, Numar persoane, 836
Total, 65-69 ani, Mures, Anul 2003, Numar persoane, 778
Total, 65-69 ani, Mures, Anul 2004, Numar persoane, 768
Total, 65-69 ani, Mures, Anul 2005, Numar persoane, 745
Total, 65-69 ani, Mures, Anul 2006, Numar persoane, 727
Total, 65-69 ani, Mures, Anul 2007, Numar persoane, 622
Total, 65-69 ani, Mures, Anul 2008, Numar persoane, 618
Total, 65-69 ani, Mures, Anul 2009, Numar persoane, 668
Total, 65-69 ani, Mures, Anul 2010, Numar persoane, 618
Total, 65-69 ani, Mures, Anul 2011, Numar persoane, 575
Total, 65-69 ani, Mures, Anul 2012, Numar persoane, 549
Total, 70-74 ani, TOTAL, Anul 1999, Numar persoane, 40110
Total, 70-74 ani, TOTAL, Anul 2000, Numar persoane, 38685
Total, 70-74 ani, TOTAL, Anul 2001, Numar persoane, 38573
Total, 70-74 ani, TOTAL, Anul 2002, Numar persoane, 40064
Total, 70-74 ani, TOTAL, Anul 2003, Numar persoane, 39598
Total, 70-74 ani, TOTAL, Anul 2004, Numar persoane, 37882
Total, 70-74 ani, TOTAL, Anul 2005, Numar persoane, 38043
Total, 70-74 ani, TOTAL, Anul 2006, Numar persoane, 36656
Total, 70-74 ani, TOTAL, Anul 2007, Numar persoane, 35322
Total, 70-74 ani, TOTAL, Anul 2008, Numar persoane, 35243
Total, 70-74 ani, TOTAL, Anul 2009, Numar persoane, 35049
Total, 70-74 ani, TOTAL, Anul 2010, Numar persoane, 34716
Total, 70-74 ani, TOTAL, Anul 2011, Numar persoane, 32043
Total, 70-74 ani, TOTAL, Anul 2012, Numar persoane, 30949
Total, 70-74 ani, Covasna, Anul 1999, Numar persoane, 325
Total, 70-74 ani, Covasna, Anul 2000, Numar persoane, 323
Total, 70-74 ani, Covasna, Anul 2001, Numar persoane, 302
Total, 70-74 ani, Covasna, Anul 2002, Numar persoane, 355
Total, 70-74 ani, Covasna, Anul 2003, Numar persoane, 349
Total, 70-74 ani, Covasna, Anul 2004, Numar persoane, 325
Total, 70-74 ani, Covasna, Anul 2005, Numar persoane, 304
Total, 70-74 ani, Covasna, Anul 2006, Numar persoane, 332
Total, 70-74 ani, Covasna, Anul 2007, Numar persoane, 312
Total, 70-74 ani, Covasna, Anul 2008, Numar persoane, 307
Total, 70-74 ani, Covasna, Anul 2009, Numar persoane, 337
Total, 70-74 ani, Covasna, Anul 2010, Numar persoane, 297
Total, 70-74 ani, Covasna, Anul 2011, Numar persoane, 289
Total, 70-74 ani, Covasna, Anul 2012, Numar persoane, 305
Total, 70-74 ani, Harghita, Anul 1999, Numar persoane, 542
Total, 70-74 ani, Harghita, Anul 2000, Numar persoane, 479
Total, 70-74 ani, Harghita, Anul 2001, Numar persoane, 535
Total, 70-74 ani, Harghita, Anul 2002, Numar persoane, 527
Total, 70-74 ani, Harghita, Anul 2003, Numar persoane, 557
Total, 70-74 ani, Harghita, Anul 2004, Numar persoane, 528
Total, 70-74 ani, Harghita, Anul 2005, Numar persoane, 465
Total, 70-74 ani, Harghita, Anul 2006, Numar persoane, 511
Total, 70-74 ani, Harghita, Anul 2007, Numar persoane, 445
Total, 70-74 ani, Harghita, Anul 2008, Numar persoane, 459
Total, 70-74 ani, Harghita, Anul 2009, Numar persoane, 452
Total, 70-74 ani, Harghita, Anul 2010, Numar persoane, 403
Total, 70-74 ani, Harghita, Anul 2011, Numar persoane, 412
Total, 70-74 ani, Harghita, Anul 2012, Numar persoane, 450
Total, 70-74 ani, Mures, Anul 1999, Numar persoane, 1170
Total, 70-74 ani, Mures, Anul 2000, Numar persoane, 1030
Total, 70-74 ani, Mures, Anul 2001, Numar persoane, 1040
Total, 70-74 ani, Mures, Anul 2002, Numar persoane, 1133
Total, 70-74 ani, Mures, Anul 2003, Numar persoane, 1100
Total, 70-74 ani, Mures, Anul 2004, Numar persoane, 1030
Total, 70-74 ani, Mures, Anul 2005, Numar persoane, 1100
Total, 70-74 ani, Mures, Anul 2006, Numar persoane, 969
Total, 70-74 ani, Mures, Anul 2007, Numar persoane, 913
Total, 70-74 ani, Mures, Anul 2008, Numar persoane, 866
Total, 70-74 ani, Mures, Anul 2009, Numar persoane, 904
Total, 70-74 ani, Mures, Anul 2010, Numar persoane, 875
Total, 70-74 ani, Mures, Anul 2011, Numar persoane, 821
Total, 70-74 ani, Mures, Anul 2012, Numar persoane, 785
Total, 75-79 ani, TOTAL, Anul 1999, Numar persoane, 42386
Total, 75-79 ani, TOTAL, Anul 2000, Numar persoane, 42163
Total, 75-79 ani, TOTAL, Anul 2001, Numar persoane, 43827
Total, 75-79 ani, TOTAL, Anul 2002, Numar persoane, 46302
Total, 75-79 ani, TOTAL, Anul 2003, Numar persoane, 46031
Total, 75-79 ani, TOTAL, Anul 2004, Numar persoane, 44713
Total, 75-79 ani, TOTAL, Anul 2005, Numar persoane, 45218
Total, 75-79 ani, TOTAL, Anul 2006, Numar persoane, 44769
Total, 75-79 ani, TOTAL, Anul 2007, Numar persoane, 43293
Total, 75-79 ani, TOTAL, Anul 2008, Numar persoane, 42702
Total, 75-79 ani, TOTAL, Anul 2009, Numar persoane, 42645
Total, 75-79 ani, TOTAL, Anul 2010, Numar persoane, 42823
Total, 75-79 ani, TOTAL, Anul 2011, Numar persoane, 41509
Total, 75-79 ani, TOTAL, Anul 2012, Numar persoane, 42297
Total, 75-79 ani, Covasna, Anul 1999, Numar persoane, 383
Total, 75-79 ani, Covasna, Anul 2000, Numar persoane, 392
Total, 75-79 ani, Covasna, Anul 2001, Numar persoane, 382
Total, 75-79 ani, Covasna, Anul 2002, Numar persoane, 372
Total, 75-79 ani, Covasna, Anul 2003, Numar persoane, 400
Total, 75-79 ani, Covasna, Anul 2004, Numar persoane, 407
Total, 75-79 ani, Covasna, Anul 2005, Numar persoane, 383
Total, 75-79 ani, Covasna, Anul 2006, Numar persoane, 425
Total, 75-79 ani, Covasna, Anul 2007, Numar persoane, 368
Total, 75-79 ani, Covasna, Anul 2008, Numar persoane, 393
Total, 75-79 ani, Covasna, Anul 2009, Numar persoane, 419
Total, 75-79 ani, Covasna, Anul 2010, Numar persoane, 397
Total, 75-79 ani, Covasna, Anul 2011, Numar persoane, 361
Total, 75-79 ani, Covasna, Anul 2012, Numar persoane, 395
Total, 75-79 ani, Harghita, Anul 1999, Numar persoane, 629
Total, 75-79 ani, Harghita, Anul 2000, Numar persoane, 620
Total, 75-79 ani, Harghita, Anul 2001, Numar persoane, 571
Total, 75-79 ani, Harghita, Anul 2002, Numar persoane, 647
Total, 75-79 ani, Harghita, Anul 2003, Numar persoane, 630
Total, 75-79 ani, Harghita, Anul 2004, Numar persoane, 549
Total, 75-79 ani, Harghita, Anul 2005, Numar persoane, 624
Total, 75-79 ani, Harghita, Anul 2006, Numar persoane, 638
Total, 75-79 ani, Harghita, Anul 2007, Numar persoane, 590
Total, 75-79 ani, Harghita, Anul 2008, Numar persoane, 563
Total, 75-79 ani, Harghita, Anul 2009, Numar persoane, 565
Total, 75-79 ani, Harghita, Anul 2010, Numar persoane, 547
Total, 75-79 ani, Harghita, Anul 2011, Numar persoane, 516
Total, 75-79 ani, Harghita, Anul 2012, Numar persoane, 537
Total, 75-79 ani, Mures, Anul 1999, Numar persoane, 1236
Total, 75-79 ani, Mures, Anul 2000, Numar persoane, 1188
Total, 75-79 ani, Mures, Anul 2001, Numar persoane, 1186
Total, 75-79 ani, Mures, Anul 2002, Numar persoane, 1321
Total, 75-79 ani, Mures, Anul 2003, Numar persoane, 1258
Total, 75-79 ani, Mures, Anul 2004, Numar persoane, 1267
Total, 75-79 ani, Mures, Anul 2005, Numar persoane, 1198
Total, 75-79 ani, Mures, Anul 2006, Numar persoane, 1270
Total, 75-79 ani, Mures, Anul 2007, Numar persoane, 1241
Total, 75-79 ani, Mures, Anul 2008, Numar persoane, 1187
Total, 75-79 ani, Mures, Anul 2009, Numar persoane, 1134
Total, 75-79 ani, Mures, Anul 2010, Numar persoane, 1180
Total, 75-79 ani, Mures, Anul 2011, Numar persoane, 1083
Total, 75-79 ani, Mures, Anul 2012, Numar persoane, 1042
Total, 80-84 ani, TOTAL, Anul 1999, Numar persoane, 25979
Total, 80-84 ani, TOTAL, Anul 2000, Numar persoane, 25106
Total, 80-84 ani, TOTAL, Anul 2001, Numar persoane, 26989
Total, 80-84 ani, TOTAL, Anul 2002, Numar persoane, 32110
Total, 80-84 ani, TOTAL, Anul 2003, Numar persoane, 37595
Total, 80-84 ani, TOTAL, Anul 2004, Numar persoane, 40125
Total, 80-84 ani, TOTAL, Anul 2005, Numar persoane, 42795
Total, 80-84 ani, TOTAL, Anul 2006, Numar persoane, 43883
Total, 80-84 ani, TOTAL, Anul 2007, Numar persoane, 42793
Total, 80-84 ani, TOTAL, Anul 2008, Numar persoane, 42821
Total, 80-84 ani, TOTAL, Anul 2009, Numar persoane, 43893
Total, 80-84 ani, TOTAL, Anul 2010, Numar persoane, 45172
Total, 80-84 ani, TOTAL, Anul 2011, Numar persoane, 44918
Total, 80-84 ani, TOTAL, Anul 2012, Numar persoane, 45790
Total, 80-84 ani, Covasna, Anul 1999, Numar persoane, 281
Total, 80-84 ani, Covasna, Anul 2000, Numar persoane, 257
Total, 80-84 ani, Covasna, Anul 2001, Numar persoane, 209
Total, 80-84 ani, Covasna, Anul 2002, Numar persoane, 356
Total, 80-84 ani, Covasna, Anul 2003, Numar persoane, 409
Total, 80-84 ani, Covasna, Anul 2004, Numar persoane, 431
Total, 80-84 ani, Covasna, Anul 2005, Numar persoane, 377
Total, 80-84 ani, Covasna, Anul 2006, Numar persoane, 425
Total, 80-84 ani, Covasna, Anul 2007, Numar persoane, 386
Total, 80-84 ani, Covasna, Anul 2008, Numar persoane, 407
Total, 80-84 ani, Covasna, Anul 2009, Numar persoane, 416
Total, 80-84 ani, Covasna, Anul 2010, Numar persoane, 402
Total, 80-84 ani, Covasna, Anul 2011, Numar persoane, 381
Total, 80-84 ani, Covasna, Anul 2012, Numar persoane, 425
Total, 80-84 ani, Harghita, Anul 1999, Numar persoane, 402
Total, 80-84 ani, Harghita, Anul 2000, Numar persoane, 376
Total, 80-84 ani, Harghita, Anul 2001, Numar persoane, 435
Total, 80-84 ani, Harghita, Anul 2002, Numar persoane, 575
Total, 80-84 ani, Harghita, Anul 2003, Numar persoane, 548
Total, 80-84 ani, Harghita, Anul 2004, Numar persoane, 632
Total, 80-84 ani, Harghita, Anul 2005, Numar persoane, 646
Total, 80-84 ani, Harghita, Anul 2006, Numar persoane, 675
Total, 80-84 ani, Harghita, Anul 2007, Numar persoane, 598
Total, 80-84 ani, Harghita, Anul 2008, Numar persoane, 628
Total, 80-84 ani, Harghita, Anul 2009, Numar persoane, 579
Total, 80-84 ani, Harghita, Anul 2010, Numar persoane, 624
Total, 80-84 ani, Harghita, Anul 2011, Numar persoane, 620
Total, 80-84 ani, Harghita, Anul 2012, Numar persoane, 616
Total, 80-84 ani, Mures, Anul 1999, Numar persoane, 696
Total, 80-84 ani, Mures, Anul 2000, Numar persoane, 680
Total, 80-84 ani, Mures, Anul 2001, Numar persoane, 825
Total, 80-84 ani, Mures, Anul 2002, Numar persoane, 949
Total, 80-84 ani, Mures, Anul 2003, Numar persoane, 1049
Total, 80-84 ani, Mures, Anul 2004, Numar persoane, 1188
Total, 80-84 ani, Mures, Anul 2005, Numar persoane, 1221
Total, 80-84 ani, Mures, Anul 2006, Numar persoane, 1286
Total, 80-84 ani, Mures, Anul 2007, Numar persoane, 1232
Total, 80-84 ani, Mures, Anul 2008, Numar persoane, 1207
Total, 80-84 ani, Mures, Anul 2009, Numar persoane, 1249
Total, 80-84 ani, Mures, Anul 2010, Numar persoane, 1315
Total, 80-84 ani, Mures, Anul 2011, Numar persoane, 1274
Total, 80-84 ani, Mures, Anul 2012, Numar persoane, 1214
Total, 85 ani si peste, TOTAL, Anul 1999, Numar persoane, 40665
Total, 85 ani si peste, TOTAL, Anul 2000, Numar persoane, 38534
Total, 85 ani si peste, TOTAL, Anul 2001, Numar persoane, 37829
Total, 85 ani si peste, TOTAL, Anul 2002, Numar persoane, 38567
Total, 85 ani si peste, TOTAL, Anul 2003, Numar persoane, 33972
Total, 85 ani si peste, TOTAL, Anul 2004, Numar persoane, 31911
Total, 85 ani si peste, TOTAL, Anul 2005, Numar persoane, 34396
Total, 85 ani si peste, TOTAL, Anul 2006, Numar persoane, 35338
Total, 85 ani si peste, TOTAL, Anul 2007, Numar persoane, 36138
Total, 85 ani si peste, TOTAL, Anul 2008, Numar persoane, 38379
Total, 85 ani si peste, TOTAL, Anul 2009, Numar persoane, 41608
Total, 85 ani si peste, TOTAL, Anul 2010, Numar persoane, 45301
Total, 85 ani si peste, TOTAL, Anul 2011, Numar persoane, 47624
Total, 85 ani si peste, TOTAL, Anul 2012, Numar persoane, 51220
Total, 85 ani si peste, Covasna, Anul 1999, Numar persoane, 523
Total, 85 ani si peste, Covasna, Anul 2000, Numar persoane, 418
Total, 85 ani si peste, Covasna, Anul 2001, Numar persoane, 451
Total, 85 ani si peste, Covasna, Anul 2002, Numar persoane, 422
Total, 85 ani si peste, Covasna, Anul 2003, Numar persoane, 385
Total, 85 ani si peste, Covasna, Anul 2004, Numar persoane, 354
Total, 85 ani si peste, Covasna, Anul 2005, Numar persoane, 386
Total, 85 ani si peste, Covasna, Anul 2006, Numar persoane, 428
Total, 85 ani si peste, Covasna, Anul 2007, Numar persoane, 406
Total, 85 ani si peste, Covasna, Anul 2008, Numar persoane, 432
Total, 85 ani si peste, Covasna, Anul 2009, Numar persoane, 442
Total, 85 ani si peste, Covasna, Anul 2010, Numar persoane, 466
Total, 85 ani si peste, Covasna, Anul 2011, Numar persoane, 493
Total, 85 ani si peste, Covasna, Anul 2012, Numar persoane, 501
Total, 85 ani si peste, Harghita, Anul 1999, Numar persoane, 669
Total, 85 ani si peste, Harghita, Anul 2000, Numar persoane, 713
Total, 85 ani si peste, Harghita, Anul 2001, Numar persoane, 658
Total, 85 ani si peste, Harghita, Anul 2002, Numar persoane, 593
Total, 85 ani si peste, Harghita, Anul 2003, Numar persoane, 566
Total, 85 ani si peste, Harghita, Anul 2004, Numar persoane, 541
Total, 85 ani si peste, Harghita, Anul 2005, Numar persoane, 567
Total, 85 ani si peste, Harghita, Anul 2006, Numar persoane, 632
Total, 85 ani si peste, Harghita, Anul 2007, Numar persoane, 576
Total, 85 ani si peste, Harghita, Anul 2008, Numar persoane, 656
Total, 85 ani si peste, Harghita, Anul 2009, Numar persoane, 710
Total, 85 ani si peste, Harghita, Anul 2010, Numar persoane, 717
Total, 85 ani si peste, Harghita, Anul 2011, Numar persoane, 710
Total, 85 ani si peste, Harghita, Anul 2012, Numar persoane, 734
Total, 85 ani si peste, Mures, Anul 1999, Numar persoane, 1109
Total, 85 ani si peste, Mures, Anul 2000, Numar persoane, 991
Total, 85 ani si peste, Mures, Anul 2001, Numar persoane, 925
Total, 85 ani si peste, Mures, Anul 2002, Numar persoane, 1052
Total, 85 ani si peste, Mures, Anul 2003, Numar persoane, 835
Total, 85 ani si peste, Mures, Anul 2004, Numar persoane, 902
Total, 85 ani si peste, Mures, Anul 2005, Numar persoane, 968
Total, 85 ani si peste, Mures, Anul 2006, Numar persoane, 1015
Total, 85 ani si peste, Mures, Anul 2007, Numar persoane, 1041
Total, 85 ani si peste, Mures, Anul 2008, Numar persoane, 1074
Total, 85 ani si peste, Mures, Anul 2009, Numar persoane, 1205
Total, 85 ani si peste, Mures, Anul 2010, Numar persoane, 1263
Total, 85 ani si peste, Mures, Anul 2011, Numar persoane, 1347
Total, 85 ani si peste, Mures, Anul 2012, Numar persoane, 1438
Masculin, Total, TOTAL, Anul 1999, Numar persoane, 141382
Masculin, Total, TOTAL, Anul 2000, Numar persoane, 136325
Masculin, Total, TOTAL, Anul 2001, Numar persoane, 139549
Masculin, Total, TOTAL, Anul 2002, Numar persoane, 144480
Masculin, Total, TOTAL, Anul 2003, Numar persoane, 142710
Masculin, Total, TOTAL, Anul 2004, Numar persoane, 138440
Masculin, Total, TOTAL, Anul 2005, Numar persoane, 138461
Masculin, Total, TOTAL, Anul 2006, Numar persoane, 136264
Masculin, Total, TOTAL, Anul 2007, Numar persoane, 133405
Masculin, Total, TOTAL, Anul 2008, Numar persoane, 135410
Masculin, Total, TOTAL, Anul 2009, Numar persoane, 137550
Masculin, Total, TOTAL, Anul 2010, Numar persoane, 137957
Masculin, Total, TOTAL, Anul 2011, Numar persoane, 132180
Masculin, Total, TOTAL, Anul 2012, Numar persoane, 133507
Masculin, Total, Covasna, Anul 1999, Numar persoane, 1363
Masculin, Total, Covasna, Anul 2000, Numar persoane, 1288
Masculin, Total, Covasna, Anul 2001, Numar persoane, 1280
Masculin, Total, Covasna, Anul 2002, Numar persoane, 1420
Masculin, Total, Covasna, Anul 2003, Numar persoane, 1397
Masculin, Total, Covasna, Anul 2004, Numar persoane, 1336
Masculin, Total, Covasna, Anul 2005, Numar persoane, 1283
Masculin, Total, Covasna, Anul 2006, Numar persoane, 1388
Masculin, Total, Covasna, Anul 2007, Numar persoane, 1317
Masculin, Total, Covasna, Anul 2008, Numar persoane, 1400
Masculin, Total, Covasna, Anul 2009, Numar persoane, 1412
Masculin, Total, Covasna, Anul 2010, Numar persoane, 1356
Masculin, Total, Covasna, Anul 2011, Numar persoane, 1289
Masculin, Total, Covasna, Anul 2012, Numar persoane, 1310
Masculin, Total, Harghita, Anul 1999, Numar persoane, 2220
Masculin, Total, Harghita, Anul 2000, Numar persoane, 2007
Masculin, Total, Harghita, Anul 2001, Numar persoane, 2120
Masculin, Total, Harghita, Anul 2002, Numar persoane, 2218
Masculin, Total, Harghita, Anul 2003, Numar persoane, 2188
Masculin, Total, Harghita, Anul 2004, Numar persoane, 2132
Masculin, Total, Harghita, Anul 2005, Numar persoane, 2118
Masculin, Total, Harghita, Anul 2006, Numar persoane, 2108
Masculin, Total, Harghita, Anul 2007, Numar persoane, 1943
Masculin, Total, Harghita, Anul 2008, Numar persoane, 2028
Masculin, Total, Harghita, Anul 2009, Numar persoane, 2014
Masculin, Total, Harghita, Anul 2010, Numar persoane, 1974
Masculin, Total, Harghita, Anul 2011, Numar persoane, 1948
Masculin, Total, Harghita, Anul 2012, Numar persoane, 1916
Masculin, Total, Mures, Anul 1999, Numar persoane, 3985
Masculin, Total, Mures, Anul 2000, Numar persoane, 3800
Masculin, Total, Mures, Anul 2001, Numar persoane, 3846
Masculin, Total, Mures, Anul 2002, Numar persoane, 4165
Masculin, Total, Mures, Anul 2003, Numar persoane, 3870
Masculin, Total, Mures, Anul 2004, Numar persoane, 3878
Masculin, Total, Mures, Anul 2005, Numar persoane, 3966
Masculin, Total, Mures, Anul 2006, Numar persoane, 3900
Masculin, Total, Mures, Anul 2007, Numar persoane, 3670
Masculin, Total, Mures, Anul 2008, Numar persoane, 3644
Masculin, Total, Mures, Anul 2009, Numar persoane, 3812
Masculin, Total, Mures, Anul 2010, Numar persoane, 3784
Masculin, Total, Mures, Anul 2011, Numar persoane, 3680
Masculin, Total, Mures, Anul 2012, Numar persoane, 3497
Masculin, 0-  4 ani, TOTAL, Anul 1999, Numar persoane, 2980
Masculin, 0-  4 ani, TOTAL, Anul 2000, Numar persoane, 2942
Masculin, 0-  4 ani, TOTAL, Anul 2001, Numar persoane, 2741
Masculin, 0-  4 ani, TOTAL, Anul 2002, Numar persoane, 2485
Masculin, 0-  4 ani, TOTAL, Anul 2003, Numar persoane, 2439
Masculin, 0-  4 ani, TOTAL, Anul 2004, Numar persoane, 2446
Masculin, 0-  4 ani, TOTAL, Anul 2005, Numar persoane, 2228
Masculin, 0-  4 ani, TOTAL, Anul 2006, Numar persoane, 2006
Masculin, 0-  4 ani, TOTAL, Anul 2007, Numar persoane, 1748
Masculin, 0-  4 ani, TOTAL, Anul 2008, Numar persoane, 1660
Masculin, 0-  4 ani, TOTAL, Anul 2009, Numar persoane, 1517
Masculin, 0-  4 ani, TOTAL, Anul 2010, Numar persoane, 1422
Masculin, 0-  4 ani, TOTAL, Anul 2011, Numar persoane, 1303
Masculin, 0-  4 ani, TOTAL, Anul 2012, Numar persoane, 1169
Masculin, 0-  4 ani, Covasna, Anul 1999, Numar persoane, 21
Masculin, 0-  4 ani, Covasna, Anul 2000, Numar persoane, 30
Masculin, 0-  4 ani, Covasna, Anul 2001, Numar persoane, 22
Masculin, 0-  4 ani, Covasna, Anul 2002, Numar persoane, 26
Masculin, 0-  4 ani, Covasna, Anul 2003, Numar persoane, 21
Masculin, 0-  4 ani, Covasna, Anul 2004, Numar persoane, 39
Masculin, 0-  4 ani, Covasna, Anul 2005, Numar persoane, 25
Masculin, 0-  4 ani, Covasna, Anul 2006, Numar persoane, 24
Masculin, 0-  4 ani, Covasna, Anul 2007, Numar persoane, 25
Masculin, 0-  4 ani, Covasna, Anul 2008, Numar persoane, 9
Masculin, 0-  4 ani, Covasna, Anul 2009, Numar persoane, 18
Masculin, 0-  4 ani, Covasna, Anul 2010, Numar persoane, 21
Masculin, 0-  4 ani, Covasna, Anul 2011, Numar persoane, 19
Masculin, 0-  4 ani, Covasna, Anul 2012, Numar persoane, 21
Masculin, 0-  4 ani, Harghita, Anul 1999, Numar persoane, 34
Masculin, 0-  4 ani, Harghita, Anul 2000, Numar persoane, 36
Masculin, 0-  4 ani, Harghita, Anul 2001, Numar persoane, 33
Masculin, 0-  4 ani, Harghita, Anul 2002, Numar persoane, 32
Masculin, 0-  4 ani, Harghita, Anul 2003, Numar persoane, 38
Masculin, 0-  4 ani, Harghita, Anul 2004, Numar persoane, 44
Masculin, 0-  4 ani, Harghita, Anul 2005, Numar persoane, 44
Masculin, 0-  4 ani, Harghita, Anul 2006, Numar persoane, 32
Masculin, 0-  4 ani, Harghita, Anul 2007, Numar persoane, 25
Masculin, 0-  4 ani, Harghita, Anul 2008, Numar persoane, 25
Masculin, 0-  4 ani, Harghita, Anul 2009, Numar persoane, 21
Masculin, 0-  4 ani, Harghita, Anul 2010, Numar persoane, 24
Masculin, 0-  4 ani, Harghita, Anul 2011, Numar persoane, 33
Masculin, 0-  4 ani, Harghita, Anul 2012, Numar persoane, 26
Masculin, 0-  4 ani, Mures, Anul 1999, Numar persoane, 85
Masculin, 0-  4 ani, Mures, Anul 2000, Numar persoane, 95
Masculin, 0-  4 ani, Mures, Anul 2001, Numar persoane, 72
Masculin, 0-  4 ani, Mures, Anul 2002, Numar persoane, 80
Masculin, 0-  4 ani, Mures, Anul 2003, Numar persoane, 67
Masculin, 0-  4 ani, Mures, Anul 2004, Numar persoane, 68
Masculin, 0-  4 ani, Mures, Anul 2005, Numar persoane, 58
Masculin, 0-  4 ani, Mures, Anul 2006, Numar persoane, 47
Masculin, 0-  4 ani, Mures, Anul 2007, Numar persoane, 59
Masculin, 0-  4 ani, Mures, Anul 2008, Numar persoane, 58
Masculin, 0-  4 ani, Mures, Anul 2009, Numar persoane, 60
Masculin, 0-  4 ani, Mures, Anul 2010, Numar persoane, 42
Masculin, 0-  4 ani, Mures, Anul 2011, Numar persoane, 35
Masculin, 0-  4 ani, Mures, Anul 2012, Numar persoane, 37
Masculin, 5-  9 ani, TOTAL, Anul 1999, Numar persoane, 482
Masculin, 5-  9 ani, TOTAL, Anul 2000, Numar persoane, 326
Masculin, 5-  9 ani, TOTAL, Anul 2001, Numar persoane, 281
Masculin, 5-  9 ani, TOTAL, Anul 2002, Numar persoane, 261
Masculin, 5-  9 ani, TOTAL, Anul 2003, Numar persoane, 226
Masculin, 5-  9 ani, TOTAL, Anul 2004, Numar persoane, 226
Masculin, 5-  9 ani, TOTAL, Anul 2005, Numar persoane, 209
Masculin, 5-  9 ani, TOTAL, Anul 2006, Numar persoane, 198
Masculin, 5-  9 ani, TOTAL, Anul 2007, Numar persoane, 193
Masculin, 5-  9 ani, TOTAL, Anul 2008, Numar persoane, 193
Masculin, 5-  9 ani, TOTAL, Anul 2009, Numar persoane, 159
Masculin, 5-  9 ani, TOTAL, Anul 2010, Numar persoane, 166
Masculin, 5-  9 ani, TOTAL, Anul 2011, Numar persoane, 134
Masculin, 5-  9 ani, TOTAL, Anul 2012, Numar persoane, 131
Masculin, 5-  9 ani, Covasna, Anul 1999, Numar persoane, 3
Masculin, 5-  9 ani, Covasna, Anul 2000, Numar persoane, 3
Masculin, 5-  9 ani, Covasna, Anul 2001, Numar persoane, 4
Masculin, 5-  9 ani, Covasna, Anul 2002, Numar persoane, 2
Masculin, 5-  9 ani, Covasna, Anul 2003, Numar persoane, 1
Masculin, 5-  9 ani, Covasna, Anul 2004, Numar persoane, 5
Masculin, 5-  9 ani, Covasna, Anul 2005, Numar persoane, 2
Masculin, 5-  9 ani, Covasna, Anul 2006, Numar persoane, 2
Masculin, 5-  9 ani, Covasna, Anul 2007, Numar persoane, 1
Masculin, 5-  9 ani, Covasna, Anul 2009, Numar persoane, 3
Masculin, 5-  9 ani, Covasna, Anul 2010, Numar persoane, 1
Masculin, 5-  9 ani, Covasna, Anul 2011, Numar persoane, 2
Masculin, 5-  9 ani, Harghita, Anul 1999, Numar persoane, 7
Masculin, 5-  9 ani, Harghita, Anul 2000, Numar persoane, 6
Masculin, 5-  9 ani, Harghita, Anul 2001, Numar persoane, 4
Masculin, 5-  9 ani, Harghita, Anul 2002, Numar persoane, 8
Masculin, 5-  9 ani, Harghita, Anul 2003, Numar persoane, 4
Masculin, 5-  9 ani, Harghita, Anul 2004, Numar persoane, 2
Masculin, 5-  9 ani, Harghita, Anul 2005, Numar persoane, 5
Masculin, 5-  9 ani, Harghita, Anul 2006, Numar persoane, 3
Masculin, 5-  9 ani, Harghita, Anul 2007, Numar persoane, 1
Masculin, 5-  9 ani, Harghita, Anul 2008, Numar persoane, 4
Masculin, 5-  9 ani, Harghita, Anul 2009, Numar persoane, 7
Masculin, 5-  9 ani, Harghita, Anul 2010, Numar persoane, 1
Masculin, 5-  9 ani, Harghita, Anul 2011, Numar persoane, 2
Masculin, 5-  9 ani, Harghita, Anul 2012, Numar persoane, 4
Masculin, 5-  9 ani, Mures, Anul 1999, Numar persoane, 17
Masculin, 5-  9 ani, Mures, Anul 2000, Numar persoane, 11
Masculin, 5-  9 ani, Mures, Anul 2001, Numar persoane, 4
Masculin, 5-  9 ani, Mures, Anul 2002, Numar persoane, 9
