
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 3101
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 3112
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 3228
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 3373
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 3239
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 3093
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 2750
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 2399
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 2227
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 2276
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 2322
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 2351
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 2298
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 2438
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 2443
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 2445
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 2754
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 2743
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 2601
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 2508
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 2488
Total, 55- 59 ani, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 2415
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 1684
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 1689
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 1783
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 1815
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 1851
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 1918
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 1944
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 1687
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 1580
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 1429
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 1260
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 1349
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 1328
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 1357
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 1358
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 1607
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 1656
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 1730
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 1882
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 1909
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 1803
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 1775
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 1835
Total, 55- 59 ani, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 1703
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 1928
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 1868
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 2068
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 2059
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 2125
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 2264
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 2176
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 2074
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 1863
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 1596
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 1452
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 1532
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 1538
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 1602
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 1669
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 1589
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 1639
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 1732
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 1715
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 1724
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 1662
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 1473
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 1589
Total, 55- 59 ani, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 1524
Total, 55- 59 ani, Regiunea VEST, Anul 1990, Numar persoane, 1892
Total, 55- 59 ani, Regiunea VEST, Anul 1991, Numar persoane, 1918
Total, 55- 59 ani, Regiunea VEST, Anul 1992, Numar persoane, 1963
Total, 55- 59 ani, Regiunea VEST, Anul 1993, Numar persoane, 1955
Total, 55- 59 ani, Regiunea VEST, Anul 1994, Numar persoane, 2005
Total, 55- 59 ani, Regiunea VEST, Anul 1995, Numar persoane, 2118
Total, 55- 59 ani, Regiunea VEST, Anul 1996, Numar persoane, 1959
Total, 55- 59 ani, Regiunea VEST, Anul 1997, Numar persoane, 1908
Total, 55- 59 ani, Regiunea VEST, Anul 1998, Numar persoane, 1595
Total, 55- 59 ani, Regiunea VEST, Anul 1999, Numar persoane, 1405
Total, 55- 59 ani, Regiunea VEST, Anul 2000, Numar persoane, 1363
Total, 55- 59 ani, Regiunea VEST, Anul 2001, Numar persoane, 1327
Total, 55- 59 ani, Regiunea VEST, Anul 2002, Numar persoane, 1360
Total, 55- 59 ani, Regiunea VEST, Anul 2003, Numar persoane, 1512
Total, 55- 59 ani, Regiunea VEST, Anul 2004, Numar persoane, 1484
Total, 55- 59 ani, Regiunea VEST, Anul 2005, Numar persoane, 1547
Total, 55- 59 ani, Regiunea VEST, Anul 2006, Numar persoane, 1617
Total, 55- 59 ani, Regiunea VEST, Anul 2007, Numar persoane, 1549
Total, 55- 59 ani, Regiunea VEST, Anul 2008, Numar persoane, 1603
Total, 55- 59 ani, Regiunea VEST, Anul 2009, Numar persoane, 1620
Total, 55- 59 ani, Regiunea VEST, Anul 2010, Numar persoane, 1644
Total, 55- 59 ani, Regiunea VEST, Anul 2011, Numar persoane, 1563
Total, 55- 59 ani, Regiunea VEST, Anul 2012, Numar persoane, 1544
Total, 55- 59 ani, Regiunea VEST, Anul 2013, Numar persoane, 1549
Total, 60-64 ani, TOTAL, Anul 1990, Numar persoane, 22816
Total, 60-64 ani, TOTAL, Anul 1991, Numar persoane, 23587
Total, 60-64 ani, TOTAL, Anul 1992, Numar persoane, 24650
Total, 60-64 ani, TOTAL, Anul 1993, Numar persoane, 25149
Total, 60-64 ani, TOTAL, Anul 1994, Numar persoane, 25565
Total, 60-64 ani, TOTAL, Anul 1995, Numar persoane, 25751
Total, 60-64 ani, TOTAL, Anul 1996, Numar persoane, 26557
Total, 60-64 ani, TOTAL, Anul 1997, Numar persoane, 26501
Total, 60-64 ani, TOTAL, Anul 1998, Numar persoane, 25120
Total, 60-64 ani, TOTAL, Anul 1999, Numar persoane, 23913
Total, 60-64 ani, TOTAL, Anul 2000, Numar persoane, 23148
Total, 60-64 ani, TOTAL, Anul 2001, Numar persoane, 22898
Total, 60-64 ani, TOTAL, Anul 2002, Numar persoane, 22254
Total, 60-64 ani, TOTAL, Anul 2003, Numar persoane, 20461
Total, 60-64 ani, TOTAL, Anul 2004, Numar persoane, 18418
Total, 60-64 ani, TOTAL, Anul 2005, Numar persoane, 17432
Total, 60-64 ani, TOTAL, Anul 2006, Numar persoane, 16893
Total, 60-64 ani, TOTAL, Anul 2007, Numar persoane, 16745
Total, 60-64 ani, TOTAL, Anul 2008, Numar persoane, 16953
Total, 60-64 ani, TOTAL, Anul 2009, Numar persoane, 18187
Total, 60-64 ani, TOTAL, Anul 2010, Numar persoane, 19233
Total, 60-64 ani, TOTAL, Anul 2011, Numar persoane, 19470
Total, 60-64 ani, TOTAL, Anul 2012, Numar persoane, 20006
Total, 60-64 ani, TOTAL, Anul 2013, Numar persoane, 20595
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1990, Numar persoane, 3153
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1991, Numar persoane, 3380
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1992, Numar persoane, 3610
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1993, Numar persoane, 3751
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1994, Numar persoane, 3633
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1995, Numar persoane, 3528
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1996, Numar persoane, 3510
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1997, Numar persoane, 3458
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1998, Numar persoane, 3354
Total, 60-64 ani, Regiunea NORD-VEST, Anul 1999, Numar persoane, 3129
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2000, Numar persoane, 3097
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2001, Numar persoane, 3022
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2002, Numar persoane, 3006
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2003, Numar persoane, 2804
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2004, Numar persoane, 2692
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2005, Numar persoane, 2490
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2006, Numar persoane, 2442
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2007, Numar persoane, 2399
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2008, Numar persoane, 2405
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2009, Numar persoane, 2526
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2010, Numar persoane, 2481
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2011, Numar persoane, 2499
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2012, Numar persoane, 2525
Total, 60-64 ani, Regiunea NORD-VEST, Anul 2013, Numar persoane, 2587
Total, 60-64 ani, Regiunea CENTRU, Anul 1990, Numar persoane, 2542
Total, 60-64 ani, Regiunea CENTRU, Anul 1991, Numar persoane, 2599
Total, 60-64 ani, Regiunea CENTRU, Anul 1992, Numar persoane, 2727
Total, 60-64 ani, Regiunea CENTRU, Anul 1993, Numar persoane, 2835
Total, 60-64 ani, Regiunea CENTRU, Anul 1994, Numar persoane, 2741
Total, 60-64 ani, Regiunea CENTRU, Anul 1995, Numar persoane, 2845
Total, 60-64 ani, Regiunea CENTRU, Anul 1996, Numar persoane, 2769
Total, 60-64 ani, Regiunea CENTRU, Anul 1997, Numar persoane, 2840
Total, 60-64 ani, Regiunea CENTRU, Anul 1998, Numar persoane, 2627
Total, 60-64 ani, Regiunea CENTRU, Anul 1999, Numar persoane, 2553
Total, 60-64 ani, Regiunea CENTRU, Anul 2000, Numar persoane, 2388
Total, 60-64 ani, Regiunea CENTRU, Anul 2001, Numar persoane, 2445
Total, 60-64 ani, Regiunea CENTRU, Anul 2002, Numar persoane, 2437
Total, 60-64 ani, Regiunea CENTRU, Anul 2003, Numar persoane, 2216
Total, 60-64 ani, Regiunea CENTRU, Anul 2004, Numar persoane, 2076
Total, 60-64 ani, Regiunea CENTRU, Anul 2005, Numar persoane, 2031
Total, 60-64 ani, Regiunea CENTRU, Anul 2006, Numar persoane, 2002
Total, 60-64 ani, Regiunea CENTRU, Anul 2007, Numar persoane, 1946
Total, 60-64 ani, Regiunea CENTRU, Anul 2008, Numar persoane, 1891
Total, 60-64 ani, Regiunea CENTRU, Anul 2009, Numar persoane, 2088
Total, 60-64 ani, Regiunea CENTRU, Anul 2010, Numar persoane, 2098
Total, 60-64 ani, Regiunea CENTRU, Anul 2011, Numar persoane, 2171
Total, 60-64 ani, Regiunea CENTRU, Anul 2012, Numar persoane, 2215
Total, 60-64 ani, Regiunea CENTRU, Anul 2013, Numar persoane, 2289
Total, 60-64 ani, Regiunea NORD-EST, Anul 1990, Numar persoane, 2965
Total, 60-64 ani, Regiunea NORD-EST, Anul 1991, Numar persoane, 3250
Total, 60-64 ani, Regiunea NORD-EST, Anul 1992, Numar persoane, 3362
Total, 60-64 ani, Regiunea NORD-EST, Anul 1993, Numar persoane, 3389
Total, 60-64 ani, Regiunea NORD-EST, Anul 1994, Numar persoane, 3620
Total, 60-64 ani, Regiunea NORD-EST, Anul 1995, Numar persoane, 3800
Total, 60-64 ani, Regiunea NORD-EST, Anul 1996, Numar persoane, 3933
Total, 60-64 ani, Regiunea NORD-EST, Anul 1997, Numar persoane, 3924
Total, 60-64 ani, Regiunea NORD-EST, Anul 1998, Numar persoane, 3712
Total, 60-64 ani, Regiunea NORD-EST, Anul 1999, Numar persoane, 3639
Total, 60-64 ani, Regiunea NORD-EST, Anul 2000, Numar persoane, 3617
Total, 60-64 ani, Regiunea NORD-EST, Anul 2001, Numar persoane, 3588
Total, 60-64 ani, Regiunea NORD-EST, Anul 2002, Numar persoane, 3471
Total, 60-64 ani, Regiunea NORD-EST, Anul 2003, Numar persoane, 3237
Total, 60-64 ani, Regiunea NORD-EST, Anul 2004, Numar persoane, 2814
Total, 60-64 ani, Regiunea NORD-EST, Anul 2005, Numar persoane, 2556
Total, 60-64 ani, Regiunea NORD-EST, Anul 2006, Numar persoane, 2389
Total, 60-64 ani, Regiunea NORD-EST, Anul 2007, Numar persoane, 2397
Total, 60-64 ani, Regiunea NORD-EST, Anul 2008, Numar persoane, 2429
Total, 60-64 ani, Regiunea NORD-EST, Anul 2009, Numar persoane, 2691
Total, 60-64 ani, Regiunea NORD-EST, Anul 2010, Numar persoane, 3005
Total, 60-64 ani, Regiunea NORD-EST, Anul 2011, Numar persoane, 2973
Total, 60-64 ani, Regiunea NORD-EST, Anul 2012, Numar persoane, 3156
Total, 60-64 ani, Regiunea NORD-EST, Anul 2013, Numar persoane, 3323
Total, 60-64 ani, Regiunea SUD-EST, Anul 1990, Numar persoane, 2663
Total, 60-64 ani, Regiunea SUD-EST, Anul 1991, Numar persoane, 2809
Total, 60-64 ani, Regiunea SUD-EST, Anul 1992, Numar persoane, 2833
Total, 60-64 ani, Regiunea SUD-EST, Anul 1993, Numar persoane, 2995
Total, 60-64 ani, Regiunea SUD-EST, Anul 1994, Numar persoane, 3367
Total, 60-64 ani, Regiunea SUD-EST, Anul 1995, Numar persoane, 3371
Total, 60-64 ani, Regiunea SUD-EST, Anul 1996, Numar persoane, 3450
Total, 60-64 ani, Regiunea SUD-EST, Anul 1997, Numar persoane, 3461
Total, 60-64 ani, Regiunea SUD-EST, Anul 1998, Numar persoane, 3137
Total, 60-64 ani, Regiunea SUD-EST, Anul 1999, Numar persoane, 3132
Total, 60-64 ani, Regiunea SUD-EST, Anul 2000, Numar persoane, 2974
Total, 60-64 ani, Regiunea SUD-EST, Anul 2001, Numar persoane, 3003
Total, 60-64 ani, Regiunea SUD-EST, Anul 2002, Numar persoane, 2954
Total, 60-64 ani, Regiunea SUD-EST, Anul 2003, Numar persoane, 2777
Total, 60-64 ani, Regiunea SUD-EST, Anul 2004, Numar persoane, 2428
Total, 60-64 ani, Regiunea SUD-EST, Anul 2005, Numar persoane, 2302
Total, 60-64 ani, Regiunea SUD-EST, Anul 2006, Numar persoane, 2193
Total, 60-64 ani, Regiunea SUD-EST, Anul 2007, Numar persoane, 2261
Total, 60-64 ani, Regiunea SUD-EST, Anul 2008, Numar persoane, 2169
Total, 60-64 ani, Regiunea SUD-EST, Anul 2009, Numar persoane, 2295
Total, 60-64 ani, Regiunea SUD-EST, Anul 2010, Numar persoane, 2548
Total, 60-64 ani, Regiunea SUD-EST, Anul 2011, Numar persoane, 2656
Total, 60-64 ani, Regiunea SUD-EST, Anul 2012, Numar persoane, 2752
Total, 60-64 ani, Regiunea SUD-EST, Anul 2013, Numar persoane, 2915
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 3913
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 3822
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 4132
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 4122
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 4146
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 4341
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 4585
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 4526
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 4383
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 4027
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 3831
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 3936
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 3694
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 3433
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 3021
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 2859
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 2717
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 2682
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 2795
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 2988
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 3158
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 3136
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 3192
Total, 60-64 ani, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 3272
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 2416
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 2476
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 2441
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 2570
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 2454
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 2456
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 2501
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 2397
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 2267
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 2183
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 2156
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 2046
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 1965
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 1787
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 1591
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 1544
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 1605
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 1609
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 1659
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 1707
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 1846
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 2069
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 2194
Total, 60-64 ani, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 2233
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 2617
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 2547
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 2650
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 2709
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 2805
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 2815
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 3139
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 3311
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 3180
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 2788
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 2771
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 2591
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 2567
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 2235
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 1986
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 1986
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 1884
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 1787
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 1944
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 2087
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 2151
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 2023
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 2039
Total, 60-64 ani, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 2007
Total, 60-64 ani, Regiunea VEST, Anul 1990, Numar persoane, 2547
Total, 60-64 ani, Regiunea VEST, Anul 1991, Numar persoane, 2704
Total, 60-64 ani, Regiunea VEST, Anul 1992, Numar persoane, 2895
Total, 60-64 ani, Regiunea VEST, Anul 1993, Numar persoane, 2778
Total, 60-64 ani, Regiunea VEST, Anul 1994, Numar persoane, 2799
Total, 60-64 ani, Regiunea VEST, Anul 1995, Numar persoane, 2595
Total, 60-64 ani, Regiunea VEST, Anul 1996, Numar persoane, 2670
Total, 60-64 ani, Regiunea VEST, Anul 1997, Numar persoane, 2584
Total, 60-64 ani, Regiunea VEST, Anul 1998, Numar persoane, 2460
Total, 60-64 ani, Regiunea VEST, Anul 1999, Numar persoane, 2462
Total, 60-64 ani, Regiunea VEST, Anul 2000, Numar persoane, 2314
Total, 60-64 ani, Regiunea VEST, Anul 2001, Numar persoane, 2267
Total, 60-64 ani, Regiunea VEST, Anul 2002, Numar persoane, 2160
Total, 60-64 ani, Regiunea VEST, Anul 2003, Numar persoane, 1972
Total, 60-64 ani, Regiunea VEST, Anul 2004, Numar persoane, 1810
Total, 60-64 ani, Regiunea VEST, Anul 2005, Numar persoane, 1664
Total, 60-64 ani, Regiunea VEST, Anul 2006, Numar persoane, 1661
Total, 60-64 ani, Regiunea VEST, Anul 2007, Numar persoane, 1664
Total, 60-64 ani, Regiunea VEST, Anul 2008, Numar persoane, 1661
Total, 60-64 ani, Regiunea VEST, Anul 2009, Numar persoane, 1805
Total, 60-64 ani, Regiunea VEST, Anul 2010, Numar persoane, 1946
Total, 60-64 ani, Regiunea VEST, Anul 2011, Numar persoane, 1943
Total, 60-64 ani, Regiunea VEST, Anul 2012, Numar persoane, 1933
Total, 60-64 ani, Regiunea VEST, Anul 2013, Numar persoane, 1969
Total, 65-69 ani, TOTAL, Anul 1990, Numar persoane, 27777
Total, 65-69 ani, TOTAL, Anul 1991, Numar persoane, 29378
Total, 65-69 ani, TOTAL, Anul 1992, Numar persoane, 31332
Total, 65-69 ani, TOTAL, Anul 1993, Numar persoane, 31485
Total, 65-69 ani, TOTAL, Anul 1994, Numar persoane, 32000
Total, 65-69 ani, TOTAL, Anul 1995, Numar persoane, 32497
Total, 65-69 ani, TOTAL, Anul 1996, Numar persoane, 34140
Total, 65-69 ani, TOTAL, Anul 1997, Numar persoane, 33701
Total, 65-69 ani, TOTAL, Anul 1998, Numar persoane, 32134
Total, 65-69 ani, TOTAL, Anul 1999, Numar persoane, 31884
Total, 65-69 ani, TOTAL, Anul 2000, Numar persoane, 30259
Total, 65-69 ani, TOTAL, Anul 2001, Numar persoane, 30616
Total, 65-69 ani, TOTAL, Anul 2002, Numar persoane, 31404
Total, 65-69 ani, TOTAL, Anul 2003, Numar persoane, 30913
Total, 65-69 ani, TOTAL, Anul 2004, Numar persoane, 29796
