
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Braila, Anul 2008, Mii persoane, 2.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Braila, Anul 2009, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Braila, Anul 2010, Mii persoane, 2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Braila, Anul 2011, Mii persoane, 2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Braila, Anul 2012, Mii persoane, 2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Braila, Anul 2013, Mii persoane, 2.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Buzau, Anul 2008, Mii persoane, 2.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Buzau, Anul 2009, Mii persoane, 2.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Buzau, Anul 2010, Mii persoane, 2.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Buzau, Anul 2011, Mii persoane, 2.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Buzau, Anul 2012, Mii persoane, 2.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Buzau, Anul 2013, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Constanta, Anul 2008, Mii persoane, 8.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Constanta, Anul 2009, Mii persoane, 8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Constanta, Anul 2010, Mii persoane, 6.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Constanta, Anul 2011, Mii persoane, 6.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Constanta, Anul 2012, Mii persoane, 7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Constanta, Anul 2013, Mii persoane, 6.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Galati, Anul 2008, Mii persoane, 3.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Galati, Anul 2009, Mii persoane, 3.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Galati, Anul 2010, Mii persoane, 3.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Galati, Anul 2011, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Galati, Anul 2012, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Galati, Anul 2013, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Tulcea, Anul 2008, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Tulcea, Anul 2009, Mii persoane, 1.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Tulcea, Anul 2010, Mii persoane, 1.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Tulcea, Anul 2011, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Tulcea, Anul 2012, Mii persoane, 1.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Tulcea, Anul 2013, Mii persoane, 1.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Vrancea, Anul 2008, Mii persoane, 2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Vrancea, Anul 2009, Mii persoane, 2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Vrancea, Anul 2010, Mii persoane, 1.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Vrancea, Anul 2011, Mii persoane, 1.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Vrancea, Anul 2012, Mii persoane, 1.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Vrancea, Anul 2013, Mii persoane, 1.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 36.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 40
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 36.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 35.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 36
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 34.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 16.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 18.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-MUNTENIA, Anul 2010, Mii persoane, 16.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-MUNTENIA, Anul 2011, Mii persoane, 16.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-MUNTENIA, Anul 2012, Mii persoane, 17.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-MUNTENIA, Anul 2013, Mii persoane, 18
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arges, Anul 2008, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arges, Anul 2009, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arges, Anul 2010, Mii persoane, 2.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arges, Anul 2011, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arges, Anul 2012, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arges, Anul 2013, Mii persoane, 3.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Calarasi, Anul 2008, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Calarasi, Anul 2009, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Calarasi, Anul 2010, Mii persoane, 2.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Calarasi, Anul 2011, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Calarasi, Anul 2012, Mii persoane, 2.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Calarasi, Anul 2013, Mii persoane, 1.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dambovita, Anul 2008, Mii persoane, 2.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dambovita, Anul 2009, Mii persoane, 2.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dambovita, Anul 2010, Mii persoane, 2.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dambovita, Anul 2011, Mii persoane, 2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dambovita, Anul 2012, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dambovita, Anul 2013, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Giurgiu, Anul 2008, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Giurgiu, Anul 2009, Mii persoane, 1.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Giurgiu, Anul 2010, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Giurgiu, Anul 2011, Mii persoane, .9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Giurgiu, Anul 2012, Mii persoane, 1.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Giurgiu, Anul 2013, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ialomita, Anul 2008, Mii persoane, 1.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ialomita, Anul 2009, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ialomita, Anul 2010, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ialomita, Anul 2011, Mii persoane, 1.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ialomita, Anul 2012, Mii persoane, 1.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ialomita, Anul 2013, Mii persoane, 1.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Prahova, Anul 2008, Mii persoane, 4.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Prahova, Anul 2009, Mii persoane, 5.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Prahova, Anul 2010, Mii persoane, 4.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Prahova, Anul 2011, Mii persoane, 5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Prahova, Anul 2012, Mii persoane, 5.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Prahova, Anul 2013, Mii persoane, 4.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Teleorman, Anul 2008, Mii persoane, 2.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Teleorman, Anul 2009, Mii persoane, 2.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Teleorman, Anul 2010, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Teleorman, Anul 2011, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Teleorman, Anul 2012, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Teleorman, Anul 2013, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii persoane, 20
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Mii persoane, 21.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Mii persoane, 19.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Mii persoane, 19.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Mii persoane, 18.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Mii persoane, 16.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ilfov, Anul 2008, Mii persoane, 4.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ilfov, Anul 2009, Mii persoane, 4.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ilfov, Anul 2010, Mii persoane, 3.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ilfov, Anul 2011, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ilfov, Anul 2012, Mii persoane, 3.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Ilfov, Anul 2013, Mii persoane, 3.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Municipiul Bucuresti, Anul 2008, Mii persoane, 15.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Municipiul Bucuresti, Anul 2009, Mii persoane, 16.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Municipiul Bucuresti, Anul 2010, Mii persoane, 15.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Municipiul Bucuresti, Anul 2011, Mii persoane, 16.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Municipiul Bucuresti, Anul 2012, Mii persoane, 14.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Municipiul Bucuresti, Anul 2013, Mii persoane, 13.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA PATRU, Anul 2008, Mii persoane, 24.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA PATRU, Anul 2009, Mii persoane, 25.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA PATRU, Anul 2010, Mii persoane, 24.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA PATRU, Anul 2011, Mii persoane, 24.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA PATRU, Anul 2012, Mii persoane, 24.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, MACROREGIUNEA PATRU, Anul 2013, Mii persoane, 25
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii persoane, 11.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Mii persoane, 12.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Mii persoane, 11.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Mii persoane, 11.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Mii persoane, 11
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Mii persoane, 11.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dolj, Anul 2008, Mii persoane, 3.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dolj, Anul 2009, Mii persoane, 3.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dolj, Anul 2010, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dolj, Anul 2011, Mii persoane, 3.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dolj, Anul 2012, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Dolj, Anul 2013, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Gorj, Anul 2008, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Gorj, Anul 2009, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Gorj, Anul 2010, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Gorj, Anul 2011, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Gorj, Anul 2012, Mii persoane, 2.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Gorj, Anul 2013, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Mehedinti, Anul 2008, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Mehedinti, Anul 2009, Mii persoane, 1.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Mehedinti, Anul 2010, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Mehedinti, Anul 2011, Mii persoane, 1.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Mehedinti, Anul 2012, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Mehedinti, Anul 2013, Mii persoane, 1.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Olt, Anul 2008, Mii persoane, 1.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Olt, Anul 2009, Mii persoane, 1.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Olt, Anul 2010, Mii persoane, 1.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Olt, Anul 2011, Mii persoane, 1.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Olt, Anul 2012, Mii persoane, 1.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Olt, Anul 2013, Mii persoane, 1.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Valcea, Anul 2008, Mii persoane, 2.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Valcea, Anul 2009, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Valcea, Anul 2010, Mii persoane, 2.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Valcea, Anul 2011, Mii persoane, 2.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Valcea, Anul 2012, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Valcea, Anul 2013, Mii persoane, 2.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea VEST, Anul 2008, Mii persoane, 13
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea VEST, Anul 2009, Mii persoane, 13
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea VEST, Anul 2010, Mii persoane, 12.9
