
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Agricultura  vanatoare, Total, Timis, Anul 2008, Mii persoane, 71.9
Agricultura  vanatoare, Feminin, TOTAL, Anul 2001, Mii persoane, 1785
Agricultura  vanatoare, Feminin, TOTAL, Anul 2002, Mii persoane, 1579.8
Agricultura  vanatoare, Feminin, TOTAL, Anul 2003, Mii persoane, 1499.3
Agricultura  vanatoare, Feminin, TOTAL, Anul 2004, Mii persoane, 1386.4
Agricultura  vanatoare, Feminin, TOTAL, Anul 2005, Mii persoane, 1390.7
Agricultura  vanatoare, Feminin, TOTAL, Anul 2006, Mii persoane, 1322.9
Agricultura  vanatoare, Feminin, TOTAL, Anul 2007, Mii persoane, 1292.9
Agricultura  vanatoare, Feminin, TOTAL, Anul 2008, Mii persoane, 1269.5
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2001, Mii persoane, 451.4
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2002, Mii persoane, 398.2
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2003, Mii persoane, 377.5
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2004, Mii persoane, 347.8
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2005, Mii persoane, 348.3
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2006, Mii persoane, 331.7
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2007, Mii persoane, 323.7
Agricultura  vanatoare, Feminin, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 317.4
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2001, Mii persoane, 272.6
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2002, Mii persoane, 240.6
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2003, Mii persoane, 228.6
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2004, Mii persoane, 210.7
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2005, Mii persoane, 211.2
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2006, Mii persoane, 200.7
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2007, Mii persoane, 196
Agricultura  vanatoare, Feminin, Regiunea NORD-VEST, Anul 2008, Mii persoane, 192.2
Agricultura  vanatoare, Feminin, Bihor, Anul 2001, Mii persoane, 63.5
Agricultura  vanatoare, Feminin, Bihor, Anul 2002, Mii persoane, 56.2
Agricultura  vanatoare, Feminin, Bihor, Anul 2003, Mii persoane, 53.6
Agricultura  vanatoare, Feminin, Bihor, Anul 2004, Mii persoane, 49.7
Agricultura  vanatoare, Feminin, Bihor, Anul 2005, Mii persoane, 49.5
Agricultura  vanatoare, Feminin, Bihor, Anul 2006, Mii persoane, 47.1
Agricultura  vanatoare, Feminin, Bihor, Anul 2007, Mii persoane, 45.9
Agricultura  vanatoare, Feminin, Bihor, Anul 2008, Mii persoane, 44.9
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2001, Mii persoane, 32
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2002, Mii persoane, 28.1
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2003, Mii persoane, 26.5
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2004, Mii persoane, 24.5
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2005, Mii persoane, 24.5
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2006, Mii persoane, 23.4
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2007, Mii persoane, 22.7
Agricultura  vanatoare, Feminin, Bistrita-Nasaud, Anul 2008, Mii persoane, 22.4
Agricultura  vanatoare, Feminin, Cluj, Anul 2001, Mii persoane, 57.3
Agricultura  vanatoare, Feminin, Cluj, Anul 2002, Mii persoane, 50.2
Agricultura  vanatoare, Feminin, Cluj, Anul 2003, Mii persoane, 47.7
Agricultura  vanatoare, Feminin, Cluj, Anul 2004, Mii persoane, 43.8
Agricultura  vanatoare, Feminin, Cluj, Anul 2005, Mii persoane, 44.2
Agricultura  vanatoare, Feminin, Cluj, Anul 2006, Mii persoane, 41.7
Agricultura  vanatoare, Feminin, Cluj, Anul 2007, Mii persoane, 40.8
Agricultura  vanatoare, Feminin, Cluj, Anul 2008, Mii persoane, 40.1
Agricultura  vanatoare, Feminin, Maramures, Anul 2001, Mii persoane, 53.6
Agricultura  vanatoare, Feminin, Maramures, Anul 2002, Mii persoane, 47.5
Agricultura  vanatoare, Feminin, Maramures, Anul 2003, Mii persoane, 45.1
Agricultura  vanatoare, Feminin, Maramures, Anul 2004, Mii persoane, 41.5
Agricultura  vanatoare, Feminin, Maramures, Anul 2005, Mii persoane, 41.8
Agricultura  vanatoare, Feminin, Maramures, Anul 2006, Mii persoane, 39.6
Agricultura  vanatoare, Feminin, Maramures, Anul 2007, Mii persoane, 38.8
Agricultura  vanatoare, Feminin, Maramures, Anul 2008, Mii persoane, 38
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2001, Mii persoane, 40.6
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2002, Mii persoane, 35.9
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2003, Mii persoane, 34.1
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2004, Mii persoane, 31.4
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2005, Mii persoane, 31.5
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2006, Mii persoane, 30.1
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2007, Mii persoane, 29.5
Agricultura  vanatoare, Feminin, Satu Mare, Anul 2008, Mii persoane, 28.8
Agricultura  vanatoare, Feminin, Salaj, Anul 2001, Mii persoane, 25.6
Agricultura  vanatoare, Feminin, Salaj, Anul 2002, Mii persoane, 22.7
Agricultura  vanatoare, Feminin, Salaj, Anul 2003, Mii persoane, 21.6
Agricultura  vanatoare, Feminin, Salaj, Anul 2004, Mii persoane, 19.8
Agricultura  vanatoare, Feminin, Salaj, Anul 2005, Mii persoane, 19.7
Agricultura  vanatoare, Feminin, Salaj, Anul 2006, Mii persoane, 18.8
Agricultura  vanatoare, Feminin, Salaj, Anul 2007, Mii persoane, 18.3
Agricultura  vanatoare, Feminin, Salaj, Anul 2008, Mii persoane, 18
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2001, Mii persoane, 178.8
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2002, Mii persoane, 157.6
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2003, Mii persoane, 148.9
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2004, Mii persoane, 137.1
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2005, Mii persoane, 137.1
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2006, Mii persoane, 131
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2007, Mii persoane, 127.7
Agricultura  vanatoare, Feminin, Regiunea CENTRU, Anul 2008, Mii persoane, 125.2
Agricultura  vanatoare, Feminin, Alba, Anul 2001, Mii persoane, 35.5
Agricultura  vanatoare, Feminin, Alba, Anul 2002, Mii persoane, 31.2
Agricultura  vanatoare, Feminin, Alba, Anul 2003, Mii persoane, 29.9
Agricultura  vanatoare, Feminin, Alba, Anul 2004, Mii persoane, 27.4
Agricultura  vanatoare, Feminin, Alba, Anul 2005, Mii persoane, 27.9
Agricultura  vanatoare, Feminin, Alba, Anul 2006, Mii persoane, 26.7
Agricultura  vanatoare, Feminin, Alba, Anul 2007, Mii persoane, 26.1
Agricultura  vanatoare, Feminin, Alba, Anul 2008, Mii persoane, 25.7
Agricultura  vanatoare, Feminin, Brasov, Anul 2001, Mii persoane, 23.3
Agricultura  vanatoare, Feminin, Brasov, Anul 2002, Mii persoane, 20.5
Agricultura  vanatoare, Feminin, Brasov, Anul 2003, Mii persoane, 19.2
Agricultura  vanatoare, Feminin, Brasov, Anul 2004, Mii persoane, 18
Agricultura  vanatoare, Feminin, Brasov, Anul 2005, Mii persoane, 17.3
Agricultura  vanatoare, Feminin, Brasov, Anul 2006, Mii persoane, 16.6
Agricultura  vanatoare, Feminin, Brasov, Anul 2007, Mii persoane, 16
Agricultura  vanatoare, Feminin, Brasov, Anul 2008, Mii persoane, 15.5
Agricultura  vanatoare, Feminin, Covasna, Anul 2001, Mii persoane, 17.1
Agricultura  vanatoare, Feminin, Covasna, Anul 2002, Mii persoane, 15.2
Agricultura  vanatoare, Feminin, Covasna, Anul 2003, Mii persoane, 14.2
Agricultura  vanatoare, Feminin, Covasna, Anul 2004, Mii persoane, 13.1
Agricultura  vanatoare, Feminin, Covasna, Anul 2005, Mii persoane, 13.2
Agricultura  vanatoare, Feminin, Covasna, Anul 2006, Mii persoane, 12.7
Agricultura  vanatoare, Feminin, Covasna, Anul 2007, Mii persoane, 12.5
Agricultura  vanatoare, Feminin, Covasna, Anul 2008, Mii persoane, 12.2
Agricultura  vanatoare, Feminin, Harghita, Anul 2001, Mii persoane, 31.6
Agricultura  vanatoare, Feminin, Harghita, Anul 2002, Mii persoane, 27.1
Agricultura  vanatoare, Feminin, Harghita, Anul 2003, Mii persoane, 25.5
Agricultura  vanatoare, Feminin, Harghita, Anul 2004, Mii persoane, 23.5
Agricultura  vanatoare, Feminin, Harghita, Anul 2005, Mii persoane, 23.6
Agricultura  vanatoare, Feminin, Harghita, Anul 2006, Mii persoane, 22.5
Agricultura  vanatoare, Feminin, Harghita, Anul 2007, Mii persoane, 22
Agricultura  vanatoare, Feminin, Harghita, Anul 2008, Mii persoane, 21.6
Agricultura  vanatoare, Feminin, Mures, Anul 2001, Mii persoane, 51.3
Agricultura  vanatoare, Feminin, Mures, Anul 2002, Mii persoane, 45.8
Agricultura  vanatoare, Feminin, Mures, Anul 2003, Mii persoane, 43.4
Agricultura  vanatoare, Feminin, Mures, Anul 2004, Mii persoane, 39.9
Agricultura  vanatoare, Feminin, Mures, Anul 2005, Mii persoane, 40
Agricultura  vanatoare, Feminin, Mures, Anul 2006, Mii persoane, 38.1
Agricultura  vanatoare, Feminin, Mures, Anul 2007, Mii persoane, 37
Agricultura  vanatoare, Feminin, Mures, Anul 2008, Mii persoane, 36.3
Agricultura  vanatoare, Feminin, Sibiu, Anul 2001, Mii persoane, 20
Agricultura  vanatoare, Feminin, Sibiu, Anul 2002, Mii persoane, 17.8
Agricultura  vanatoare, Feminin, Sibiu, Anul 2003, Mii persoane, 16.7
Agricultura  vanatoare, Feminin, Sibiu, Anul 2004, Mii persoane, 15.2
Agricultura  vanatoare, Feminin, Sibiu, Anul 2005, Mii persoane, 15.1
Agricultura  vanatoare, Feminin, Sibiu, Anul 2006, Mii persoane, 14.4
Agricultura  vanatoare, Feminin, Sibiu, Anul 2007, Mii persoane, 14.1
Agricultura  vanatoare, Feminin, Sibiu, Anul 2008, Mii persoane, 13.9
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2001, Mii persoane, 599.6
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2002, Mii persoane, 531.5
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2003, Mii persoane, 504.3
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2004, Mii persoane, 467.5
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2005, Mii persoane, 467.9
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2006, Mii persoane, 445.1
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2007, Mii persoane, 436
Agricultura  vanatoare, Feminin, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 427.2
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2001, Mii persoane, 360.9
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2002, Mii persoane, 319.6
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2003, Mii persoane, 303.4
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2004, Mii persoane, 280.2
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2005, Mii persoane, 282.1
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2006, Mii persoane, 268.7
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2007, Mii persoane, 262.4
Agricultura  vanatoare, Feminin, Regiunea NORD-EST, Anul 2008, Mii persoane, 257.7
Agricultura  vanatoare, Feminin, Bacau, Anul 2001, Mii persoane, 48.5
Agricultura  vanatoare, Feminin, Bacau, Anul 2002, Mii persoane, 43
Agricultura  vanatoare, Feminin, Bacau, Anul 2003, Mii persoane, 40.8
Agricultura  vanatoare, Feminin, Bacau, Anul 2004, Mii persoane, 37.5
Agricultura  vanatoare, Feminin, Bacau, Anul 2005, Mii persoane, 37.7
Agricultura  vanatoare, Feminin, Bacau, Anul 2006, Mii persoane, 36
Agricultura  vanatoare, Feminin, Bacau, Anul 2007, Mii persoane, 35
Agricultura  vanatoare, Feminin, Bacau, Anul 2008, Mii persoane, 34.6
Agricultura  vanatoare, Feminin, Botosani, Anul 2001, Mii persoane, 55.1
Agricultura  vanatoare, Feminin, Botosani, Anul 2002, Mii persoane, 48.8
Agricultura  vanatoare, Feminin, Botosani, Anul 2003, Mii persoane, 46.2
Agricultura  vanatoare, Feminin, Botosani, Anul 2004, Mii persoane, 42.8
Agricultura  vanatoare, Feminin, Botosani, Anul 2005, Mii persoane, 43.1
Agricultura  vanatoare, Feminin, Botosani, Anul 2006, Mii persoane, 41
Agricultura  vanatoare, Feminin, Botosani, Anul 2007, Mii persoane, 40.1
Agricultura  vanatoare, Feminin, Botosani, Anul 2008, Mii persoane, 39.3
Agricultura  vanatoare, Feminin, Iasi, Anul 2001, Mii persoane, 68.4
Agricultura  vanatoare, Feminin, Iasi, Anul 2002, Mii persoane, 60.7
Agricultura  vanatoare, Feminin, Iasi, Anul 2003, Mii persoane, 57.9
Agricultura  vanatoare, Feminin, Iasi, Anul 2004, Mii persoane, 53.4
Agricultura  vanatoare, Feminin, Iasi, Anul 2005, Mii persoane, 54.1
Agricultura  vanatoare, Feminin, Iasi, Anul 2006, Mii persoane, 51.6
Agricultura  vanatoare, Feminin, Iasi, Anul 2007, Mii persoane, 50.1
Agricultura  vanatoare, Feminin, Iasi, Anul 2008, Mii persoane, 49.2
Agricultura  vanatoare, Feminin, Neamt, Anul 2001, Mii persoane, 60.3
Agricultura  vanatoare, Feminin, Neamt, Anul 2002, Mii persoane, 53.4
Agricultura  vanatoare, Feminin, Neamt, Anul 2003, Mii persoane, 50.7
Agricultura  vanatoare, Feminin, Neamt, Anul 2004, Mii persoane, 46.9
Agricultura  vanatoare, Feminin, Neamt, Anul 2005, Mii persoane, 47.1
Agricultura  vanatoare, Feminin, Neamt, Anul 2006, Mii persoane, 44.9
Agricultura  vanatoare, Feminin, Neamt, Anul 2007, Mii persoane, 43.9
Agricultura  vanatoare, Feminin, Neamt, Anul 2008, Mii persoane, 43
Agricultura  vanatoare, Feminin, Suceava, Anul 2001, Mii persoane, 78.4
Agricultura  vanatoare, Feminin, Suceava, Anul 2002, Mii persoane, 69.2
Agricultura  vanatoare, Feminin, Suceava, Anul 2003, Mii persoane, 65.6
Agricultura  vanatoare, Feminin, Suceava, Anul 2004, Mii persoane, 60.5
Agricultura  vanatoare, Feminin, Suceava, Anul 2005, Mii persoane, 60.8
Agricultura  vanatoare, Feminin, Suceava, Anul 2006, Mii persoane, 57.9
Agricultura  vanatoare, Feminin, Suceava, Anul 2007, Mii persoane, 56.7
Agricultura  vanatoare, Feminin, Suceava, Anul 2008, Mii persoane, 55.8
Agricultura  vanatoare, Feminin, Vaslui, Anul 2001, Mii persoane, 50.2
Agricultura  vanatoare, Feminin, Vaslui, Anul 2002, Mii persoane, 44.5
Agricultura  vanatoare, Feminin, Vaslui, Anul 2003, Mii persoane, 42.2
Agricultura  vanatoare, Feminin, Vaslui, Anul 2004, Mii persoane, 39.1
Agricultura  vanatoare, Feminin, Vaslui, Anul 2005, Mii persoane, 39.3
Agricultura  vanatoare, Feminin, Vaslui, Anul 2006, Mii persoane, 37.3
Agricultura  vanatoare, Feminin, Vaslui, Anul 2007, Mii persoane, 36.6
Agricultura  vanatoare, Feminin, Vaslui, Anul 2008, Mii persoane, 35.8
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2001, Mii persoane, 238.7
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2002, Mii persoane, 211.9
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2003, Mii persoane, 200.9
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2004, Mii persoane, 187.3
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2005, Mii persoane, 185.8
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2006, Mii persoane, 176.4
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2007, Mii persoane, 173.6
Agricultura  vanatoare, Feminin, Regiunea SUD-EST, Anul 2008, Mii persoane, 169.5
Agricultura  vanatoare, Feminin, Braila, Anul 2001, Mii persoane, 27.1
Agricultura  vanatoare, Feminin, Braila, Anul 2002, Mii persoane, 24.3
Agricultura  vanatoare, Feminin, Braila, Anul 2003, Mii persoane, 23.2
Agricultura  vanatoare, Feminin, Braila, Anul 2004, Mii persoane, 21.8
Agricultura  vanatoare, Feminin, Braila, Anul 2005, Mii persoane, 21.5
Agricultura  vanatoare, Feminin, Braila, Anul 2006, Mii persoane, 20.5
Agricultura  vanatoare, Feminin, Braila, Anul 2007, Mii persoane, 19.9
Agricultura  vanatoare, Feminin, Braila, Anul 2008, Mii persoane, 19
Agricultura  vanatoare, Feminin, Buzau, Anul 2001, Mii persoane, 53.3
Agricultura  vanatoare, Feminin, Buzau, Anul 2002, Mii persoane, 47.1
Agricultura  vanatoare, Feminin, Buzau, Anul 2003, Mii persoane, 45.2
Agricultura  vanatoare, Feminin, Buzau, Anul 2004, Mii persoane, 42.3
Agricultura  vanatoare, Feminin, Buzau, Anul 2005, Mii persoane, 42.2
Agricultura  vanatoare, Feminin, Buzau, Anul 2006, Mii persoane, 39.8
Agricultura  vanatoare, Feminin, Buzau, Anul 2007, Mii persoane, 39.2
Agricultura  vanatoare, Feminin, Buzau, Anul 2008, Mii persoane, 38.2
Agricultura  vanatoare, Feminin, Constanta, Anul 2001, Mii persoane, 46.7
Agricultura  vanatoare, Feminin, Constanta, Anul 2002, Mii persoane, 41.5
Agricultura  vanatoare, Feminin, Constanta, Anul 2003, Mii persoane, 38.8
Agricultura  vanatoare, Feminin, Constanta, Anul 2004, Mii persoane, 36.6
Agricultura  vanatoare, Feminin, Constanta, Anul 2005, Mii persoane, 35.8
Agricultura  vanatoare, Feminin, Constanta, Anul 2006, Mii persoane, 34.2
Agricultura  vanatoare, Feminin, Constanta, Anul 2007, Mii persoane, 33.4
Agricultura  vanatoare, Feminin, Constanta, Anul 2008, Mii persoane, 32.8
Agricultura  vanatoare, Feminin, Galati, Anul 2001, Mii persoane, 44.4
Agricultura  vanatoare, Feminin, Galati, Anul 2002, Mii persoane, 39.7
Agricultura  vanatoare, Feminin, Galati, Anul 2003, Mii persoane, 37
Agricultura  vanatoare, Feminin, Galati, Anul 2004, Mii persoane, 34.4
Agricultura  vanatoare, Feminin, Galati, Anul 2005, Mii persoane, 34.1
Agricultura  vanatoare, Feminin, Galati, Anul 2006, Mii persoane, 32.5
Agricultura  vanatoare, Feminin, Galati, Anul 2007, Mii persoane, 31.8
Agricultura  vanatoare, Feminin, Galati, Anul 2008, Mii persoane, 31.2
Agricultura  vanatoare, Feminin, Tulcea, Anul 2001, Mii persoane, 21.6
Agricultura  vanatoare, Feminin, Tulcea, Anul 2002, Mii persoane, 18.8
Agricultura  vanatoare, Feminin, Tulcea, Anul 2003, Mii persoane, 18.2
Agricultura  vanatoare, Feminin, Tulcea, Anul 2004, Mii persoane, 16.7
Agricultura  vanatoare, Feminin, Tulcea, Anul 2005, Mii persoane, 16.6
Agricultura  vanatoare, Feminin, Tulcea, Anul 2006, Mii persoane, 15.7
Agricultura  vanatoare, Feminin, Tulcea, Anul 2007, Mii persoane, 16.1
Agricultura  vanatoare, Feminin, Tulcea, Anul 2008, Mii persoane, 15.6
Agricultura  vanatoare, Feminin, Vrancea, Anul 2001, Mii persoane, 45.6
Agricultura  vanatoare, Feminin, Vrancea, Anul 2002, Mii persoane, 40.5
Agricultura  vanatoare, Feminin, Vrancea, Anul 2003, Mii persoane, 38.5
Agricultura  vanatoare, Feminin, Vrancea, Anul 2004, Mii persoane, 35.5
Agricultura  vanatoare, Feminin, Vrancea, Anul 2005, Mii persoane, 35.6
Agricultura  vanatoare, Feminin, Vrancea, Anul 2006, Mii persoane, 33.7
Agricultura  vanatoare, Feminin, Vrancea, Anul 2007, Mii persoane, 33.2
Agricultura  vanatoare, Feminin, Vrancea, Anul 2008, Mii persoane, 32.7
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2001, Mii persoane, 339.5
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2002, Mii persoane, 301.9
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2003, Mii persoane, 286.4
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2004, Mii persoane, 266.7
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2005, Mii persoane, 267.9
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2006, Mii persoane, 254.7
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2007, Mii persoane, 248.5
Agricultura  vanatoare, Feminin, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 243.8
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2001, Mii persoane, 311.2
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2002, Mii persoane, 275.9
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2003, Mii persoane, 262.1
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2004, Mii persoane, 243.3
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2005, Mii persoane, 243.9
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2006, Mii persoane, 231.7
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2007, Mii persoane, 227.1
Agricultura  vanatoare, Feminin, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 222.8
Agricultura  vanatoare, Feminin, Arges, Anul 2001, Mii persoane, 51.3
Agricultura  vanatoare, Feminin, Arges, Anul 2002, Mii persoane, 45.2
Agricultura  vanatoare, Feminin, Arges, Anul 2003, Mii persoane, 43.3
Agricultura  vanatoare, Feminin, Arges, Anul 2004, Mii persoane, 39.9
Agricultura  vanatoare, Feminin, Arges, Anul 2005, Mii persoane, 40.3
Agricultura  vanatoare, Feminin, Arges, Anul 2006, Mii persoane, 38.4
Agricultura  vanatoare, Feminin, Arges, Anul 2007, Mii persoane, 37.2
Agricultura  vanatoare, Feminin, Arges, Anul 2008, Mii persoane, 36.6
Agricultura  vanatoare, Feminin, Calarasi, Anul 2001, Mii persoane, 33.9
Agricultura  vanatoare, Feminin, Calarasi, Anul 2002, Mii persoane, 29.9
Agricultura  vanatoare, Feminin, Calarasi, Anul 2003, Mii persoane, 28.5
Agricultura  vanatoare, Feminin, Calarasi, Anul 2004, Mii persoane, 26.3
Agricultura  vanatoare, Feminin, Calarasi, Anul 2005, Mii persoane, 26.2
Agricultura  vanatoare, Feminin, Calarasi, Anul 2006, Mii persoane, 24.9
Agricultura  vanatoare, Feminin, Calarasi, Anul 2007, Mii persoane, 25.1
Agricultura  vanatoare, Feminin, Calarasi, Anul 2008, Mii persoane, 24.7
Agricultura  vanatoare, Feminin, Dambovita, Anul 2001, Mii persoane, 52.1
Agricultura  vanatoare, Feminin, Dambovita, Anul 2002, Mii persoane, 46.1
Agricultura  vanatoare, Feminin, Dambovita, Anul 2003, Mii persoane, 43.7
Agricultura  vanatoare, Feminin, Dambovita, Anul 2004, Mii persoane, 40.2
Agricultura  vanatoare, Feminin, Dambovita, Anul 2005, Mii persoane, 40.6
Agricultura  vanatoare, Feminin, Dambovita, Anul 2006, Mii persoane, 38.9
Agricultura  vanatoare, Feminin, Dambovita, Anul 2007, Mii persoane, 37.9
Agricultura  vanatoare, Feminin, Dambovita, Anul 2008, Mii persoane, 37.2
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2001, Mii persoane, 33.9
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2002, Mii persoane, 29.9
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2003, Mii persoane, 28.2
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2004, Mii persoane, 26.4
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2005, Mii persoane, 26.6
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2006, Mii persoane, 25
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2007, Mii persoane, 24.5
Agricultura  vanatoare, Feminin, Giurgiu, Anul 2008, Mii persoane, 24.1
Agricultura  vanatoare, Feminin, Ialomita, Anul 2001, Mii persoane, 30.8
Agricultura  vanatoare, Feminin, Ialomita, Anul 2002, Mii persoane, 27.7
Agricultura  vanatoare, Feminin, Ialomita, Anul 2003, Mii persoane, 26.1
Agricultura  vanatoare, Feminin, Ialomita, Anul 2004, Mii persoane, 24.6
Agricultura  vanatoare, Feminin, Ialomita, Anul 2005, Mii persoane, 24.4
Agricultura  vanatoare, Feminin, Ialomita, Anul 2006, Mii persoane, 22.9
Agricultura  vanatoare, Feminin, Ialomita, Anul 2007, Mii persoane, 22.9
Agricultura  vanatoare, Feminin, Ialomita, Anul 2008, Mii persoane, 22.1
Agricultura  vanatoare, Feminin, Prahova, Anul 2001, Mii persoane, 46.9
Agricultura  vanatoare, Feminin, Prahova, Anul 2002, Mii persoane, 41.5
Agricultura  vanatoare, Feminin, Prahova, Anul 2003, Mii persoane, 39.5
Agricultura  vanatoare, Feminin, Prahova, Anul 2004, Mii persoane, 37.1
Agricultura  vanatoare, Feminin, Prahova, Anul 2005, Mii persoane, 36.9
Agricultura  vanatoare, Feminin, Prahova, Anul 2006, Mii persoane, 35.2
Agricultura  vanatoare, Feminin, Prahova, Anul 2007, Mii persoane, 34.1
Agricultura  vanatoare, Feminin, Prahova, Anul 2008, Mii persoane, 33.5
Agricultura  vanatoare, Feminin, Teleorman, Anul 2001, Mii persoane, 62.3
Agricultura  vanatoare, Feminin, Teleorman, Anul 2002, Mii persoane, 55.6
Agricultura  vanatoare, Feminin, Teleorman, Anul 2003, Mii persoane, 52.8
Agricultura  vanatoare, Feminin, Teleorman, Anul 2004, Mii persoane, 48.8
Agricultura  vanatoare, Feminin, Teleorman, Anul 2005, Mii persoane, 48.9
Agricultura  vanatoare, Feminin, Teleorman, Anul 2006, Mii persoane, 46.4
Agricultura  vanatoare, Feminin, Teleorman, Anul 2007, Mii persoane, 45.4
Agricultura  vanatoare, Feminin, Teleorman, Anul 2008, Mii persoane, 44.6
Agricultura  vanatoare, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2001, Mii persoane, 28.3
Agricultura  vanatoare, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2002, Mii persoane, 26
