
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 1993, Mii persoane, 73.8
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 1994, Mii persoane, 75.6
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 1995, Mii persoane, 63.3
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 1996, Mii persoane, 64
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 1997, Mii persoane, 65.8
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 1998, Mii persoane, 63.4
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 1999, Mii persoane, 63.7
A Agricultura  vanatoare si silvicultura, Total, Ialomita, Anul 2000, Mii persoane, 64.2
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1992, Mii persoane, 84.2
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1993, Mii persoane, 90.1
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1994, Mii persoane, 92
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1995, Mii persoane, 85.2
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1996, Mii persoane, 86.6
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1997, Mii persoane, 92.5
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1998, Mii persoane, 87.7
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 1999, Mii persoane, 90.8
A Agricultura  vanatoare si silvicultura, Total, Prahova, Anul 2000, Mii persoane, 93.3
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1992, Mii persoane, 116.4
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1993, Mii persoane, 126.5
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1994, Mii persoane, 128.5
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1995, Mii persoane, 113.5
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1996, Mii persoane, 115.3
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1997, Mii persoane, 118
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1998, Mii persoane, 117
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 1999, Mii persoane, 120.6
A Agricultura  vanatoare si silvicultura, Total, Teleorman, Anul 2000, Mii persoane, 125.7
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Mii persoane, 51.1
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Mii persoane, 55
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Mii persoane, 56.1
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Mii persoane, 55.4
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Mii persoane, 52.1
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Mii persoane, 54.6
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Mii persoane, 49.5
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Mii persoane, 52.4
A Agricultura  vanatoare si silvicultura, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Mii persoane, 54.4
A Agricultura  vanatoare si silvicultura, Total, Ilfov, Anul 1996, Mii persoane, 49.3
A Agricultura  vanatoare si silvicultura, Total, Ilfov, Anul 1997, Mii persoane, 47.1
A Agricultura  vanatoare si silvicultura, Total, Ilfov, Anul 1998, Mii persoane, 46.6
A Agricultura  vanatoare si silvicultura, Total, Ilfov, Anul 1999, Mii persoane, 48.5
A Agricultura  vanatoare si silvicultura, Total, Ilfov, Anul 2000, Mii persoane, 49.6
A Agricultura  vanatoare si silvicultura, Total, Municipiul Bucuresti, Anul 1996, Mii persoane, 2.8
A Agricultura  vanatoare si silvicultura, Total, Municipiul Bucuresti, Anul 1997, Mii persoane, 7.5
A Agricultura  vanatoare si silvicultura, Total, Municipiul Bucuresti, Anul 1998, Mii persoane, 2.9
A Agricultura  vanatoare si silvicultura, Total, Municipiul Bucuresti, Anul 1999, Mii persoane, 3.9
A Agricultura  vanatoare si silvicultura, Total, Municipiul Bucuresti, Anul 2000, Mii persoane, 4.8
A Agricultura  vanatoare si silvicultura, Total, Mun. Bucuresti -incl. SAI, Anul 1992, Mii persoane, 51.1
A Agricultura  vanatoare si silvicultura, Total, Mun. Bucuresti -incl. SAI, Anul 1993, Mii persoane, 55
A Agricultura  vanatoare si silvicultura, Total, Mun. Bucuresti -incl. SAI, Anul 1994, Mii persoane, 56.1
A Agricultura  vanatoare si silvicultura, Total, Mun. Bucuresti -incl. SAI, Anul 1995, Mii persoane, 55.4
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1992, Mii persoane, 771.7
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1993, Mii persoane, 800.7
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1994, Mii persoane, 812.4
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1995, Mii persoane, 732.4
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1996, Mii persoane, 733.8
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1997, Mii persoane, 743.3
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1998, Mii persoane, 740.3
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 1999, Mii persoane, 760.7
A Agricultura  vanatoare si silvicultura, Total, MACROREGIUNEA PATRU, Anul 2000, Mii persoane, 783.3
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Mii persoane, 475.5
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Mii persoane, 498.8
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Mii persoane, 507.8
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Mii persoane, 449.5
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Mii persoane, 449.8
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Mii persoane, 460.2
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Mii persoane, 457.6
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Mii persoane, 474.3
A Agricultura  vanatoare si silvicultura, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Mii persoane, 488.4
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1992, Mii persoane, 150.1
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1993, Mii persoane, 156.8
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1994, Mii persoane, 159.3
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1995, Mii persoane, 147
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1996, Mii persoane, 148.6
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1997, Mii persoane, 150
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1998, Mii persoane, 149.3
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 1999, Mii persoane, 154.9
A Agricultura  vanatoare si silvicultura, Total, Dolj, Anul 2000, Mii persoane, 158.9
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1992, Mii persoane, 66.5
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1993, Mii persoane, 70.5
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1994, Mii persoane, 72
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1995, Mii persoane, 62
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1996, Mii persoane, 52.1
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1997, Mii persoane, 53
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1998, Mii persoane, 52.9
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 1999, Mii persoane, 55.5
A Agricultura  vanatoare si silvicultura, Total, Gorj, Anul 2000, Mii persoane, 57.1
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1992, Mii persoane, 63.4
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1993, Mii persoane, 66.5
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1994, Mii persoane, 67.6
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1995, Mii persoane, 62.4
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1996, Mii persoane, 65.4
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1997, Mii persoane, 68
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1998, Mii persoane, 67.5
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 1999, Mii persoane, 70.7
A Agricultura  vanatoare si silvicultura, Total, Mehedinti, Anul 2000, Mii persoane, 72
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1992, Mii persoane, 111.1
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1993, Mii persoane, 116.7
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1994, Mii persoane, 118.6
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1995, Mii persoane, 104.9
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1996, Mii persoane, 107.1
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1997, Mii persoane, 108.8
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1998, Mii persoane, 108.2
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 1999, Mii persoane, 110.4
A Agricultura  vanatoare si silvicultura, Total, Olt, Anul 2000, Mii persoane, 114.5
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1992, Mii persoane, 84.4
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1993, Mii persoane, 88.3
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1994, Mii persoane, 90.3
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1995, Mii persoane, 73.2
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1996, Mii persoane, 76.6
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1997, Mii persoane, 80.4
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1998, Mii persoane, 79.7
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 1999, Mii persoane, 82.8
A Agricultura  vanatoare si silvicultura, Total, Valcea, Anul 2000, Mii persoane, 85.9
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1992, Mii persoane, 296.2
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1993, Mii persoane, 301.9
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1994, Mii persoane, 304.6
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1995, Mii persoane, 282.9
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1996, Mii persoane, 284
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1997, Mii persoane, 283.1
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1998, Mii persoane, 282.7
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 1999, Mii persoane, 286.4
A Agricultura  vanatoare si silvicultura, Total, Regiunea VEST, Anul 2000, Mii persoane, 294.9
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1992, Mii persoane, 80.8
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1993, Mii persoane, 74.4
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1994, Mii persoane, 78.8
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1995, Mii persoane, 76
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1996, Mii persoane, 70.1
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1997, Mii persoane, 67.9
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1998, Mii persoane, 65.7
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 1999, Mii persoane, 65.7
A Agricultura  vanatoare si silvicultura, Total, Arad, Anul 2000, Mii persoane, 68.4
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1992, Mii persoane, 56.4
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1993, Mii persoane, 59
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1994, Mii persoane, 57.4
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1995, Mii persoane, 53.9
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1996, Mii persoane, 55.8
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1997, Mii persoane, 57.5
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1998, Mii persoane, 57.5
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 1999, Mii persoane, 59.2
A Agricultura  vanatoare si silvicultura, Total, Caras-Severin, Anul 2000, Mii persoane, 62.4
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1992, Mii persoane, 54.7
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1993, Mii persoane, 61.1
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1994, Mii persoane, 58.5
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1995, Mii persoane, 52.5
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1996, Mii persoane, 54.2
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1997, Mii persoane, 55.7
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1998, Mii persoane, 54.9
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 1999, Mii persoane, 58
A Agricultura  vanatoare si silvicultura, Total, Hunedoara, Anul 2000, Mii persoane, 60.4
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1992, Mii persoane, 104.3
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1993, Mii persoane, 107.4
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1994, Mii persoane, 109.9
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1995, Mii persoane, 100.5
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1996, Mii persoane, 103.9
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1997, Mii persoane, 102
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1998, Mii persoane, 104.6
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 1999, Mii persoane, 103.5
A Agricultura  vanatoare si silvicultura, Total, Timis, Anul 2000, Mii persoane, 103.7
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1992, Mii persoane, 1843.6
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1993, Mii persoane, 1878.3
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1994, Mii persoane, 1892.9
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1995, Mii persoane, 1587.2
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1996, Mii persoane, 1700.3
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1997, Mii persoane, 1709
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1998, Mii persoane, 1697.2
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 1999, Mii persoane, 1770.1
A Agricultura  vanatoare si silvicultura, Feminin, TOTAL, Anul 2000, Mii persoane, 1834.4
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1992, Mii persoane, 456.8
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1993, Mii persoane, 468.7
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1994, Mii persoane, 470.3
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1995, Mii persoane, 387.9
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1996, Mii persoane, 425.8
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1997, Mii persoane, 431.1
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1998, Mii persoane, 429.8
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 1999, Mii persoane, 447.4
A Agricultura  vanatoare si silvicultura, Feminin, MACROREGIUNEA UNU, Anul 2000, Mii persoane, 464
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1992, Mii persoane, 276.4
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1993, Mii persoane, 279.6
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1994, Mii persoane, 279.5
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1995, Mii persoane, 228.5
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1996, Mii persoane, 252.4
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1997, Mii persoane, 258.2
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1998, Mii persoane, 258.9
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 1999, Mii persoane, 269.1
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea NORD-VEST, Anul 2000, Mii persoane, 279.7
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1992, Mii persoane, 62.3
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1993, Mii persoane, 61.3
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1994, Mii persoane, 64.2
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1995, Mii persoane, 54.5
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1996, Mii persoane, 59.8
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1997, Mii persoane, 60.3
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1998, Mii persoane, 60.4
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 1999, Mii persoane, 62.7
A Agricultura  vanatoare si silvicultura, Feminin, Bihor, Anul 2000, Mii persoane, 65.5
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1992, Mii persoane, 35.1
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1993, Mii persoane, 33.8
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1994, Mii persoane, 31.9
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1995, Mii persoane, 27.5
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1996, Mii persoane, 30.4
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1997, Mii persoane, 30.2
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1998, Mii persoane, 29.9
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 1999, Mii persoane, 31.2
A Agricultura  vanatoare si silvicultura, Feminin, Bistrita-Nasaud, Anul 2000, Mii persoane, 32.5
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1992, Mii persoane, 55
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1993, Mii persoane, 56.1
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1994, Mii persoane, 56.7
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1995, Mii persoane, 43.3
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1996, Mii persoane, 48.4
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1997, Mii persoane, 54
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1998, Mii persoane, 54.1
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 1999, Mii persoane, 56.6
A Agricultura  vanatoare si silvicultura, Feminin, Cluj, Anul 2000, Mii persoane, 58.3
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1992, Mii persoane, 55.7
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1993, Mii persoane, 58.9
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1994, Mii persoane, 55.7
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1995, Mii persoane, 45.9
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1996, Mii persoane, 50.3
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1997, Mii persoane, 50.5
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1998, Mii persoane, 52
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 1999, Mii persoane, 53.1
A Agricultura  vanatoare si silvicultura, Feminin, Maramures, Anul 2000, Mii persoane, 55.2
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1992, Mii persoane, 38.8
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1993, Mii persoane, 39.6
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1994, Mii persoane, 43.7
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1995, Mii persoane, 35.4
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1996, Mii persoane, 39.4
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1997, Mii persoane, 38.9
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1998, Mii persoane, 38.3
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 1999, Mii persoane, 40.1
A Agricultura  vanatoare si silvicultura, Feminin, Satu Mare, Anul 2000, Mii persoane, 41.8
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1992, Mii persoane, 29.5
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1993, Mii persoane, 29.9
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1994, Mii persoane, 27.3
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1995, Mii persoane, 21.9
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1996, Mii persoane, 24.1
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1997, Mii persoane, 24.3
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1998, Mii persoane, 24.2
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 1999, Mii persoane, 25.4
A Agricultura  vanatoare si silvicultura, Feminin, Salaj, Anul 2000, Mii persoane, 26.4
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1992, Mii persoane, 180.4
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1993, Mii persoane, 189.1
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1994, Mii persoane, 190.8
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1995, Mii persoane, 159.4
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1996, Mii persoane, 173.4
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1997, Mii persoane, 172.9
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1998, Mii persoane, 170.9
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 1999, Mii persoane, 178.3
A Agricultura  vanatoare si silvicultura, Feminin, Regiunea CENTRU, Anul 2000, Mii persoane, 184.3
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1992, Mii persoane, 42.4
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1993, Mii persoane, 43.6
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1994, Mii persoane, 38.4
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1995, Mii persoane, 31.8
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1996, Mii persoane, 34.2
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1997, Mii persoane, 34.1
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1998, Mii persoane, 34.1
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 1999, Mii persoane, 35.4
A Agricultura  vanatoare si silvicultura, Feminin, Alba, Anul 2000, Mii persoane, 36.4
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1992, Mii persoane, 23.3
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1993, Mii persoane, 23.2
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1994, Mii persoane, 26.9
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1995, Mii persoane, 21
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1996, Mii persoane, 23.6
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1997, Mii persoane, 22.7
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1998, Mii persoane, 23.1
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 1999, Mii persoane, 23.7
A Agricultura  vanatoare si silvicultura, Feminin, Brasov, Anul 2000, Mii persoane, 24.2
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1992, Mii persoane, 15.4
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1993, Mii persoane, 15.5
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1994, Mii persoane, 18.4
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1995, Mii persoane, 15
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1996, Mii persoane, 16.2
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1997, Mii persoane, 16.6
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1998, Mii persoane, 16.2
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 1999, Mii persoane, 16.9
A Agricultura  vanatoare si silvicultura, Feminin, Covasna, Anul 2000, Mii persoane, 17.5
A Agricultura  vanatoare si silvicultura, Feminin, Harghita, Anul 1992, Mii persoane, 27.4
A Agricultura  vanatoare si silvicultura, Feminin, Harghita, Anul 1993, Mii persoane, 27.9
A Agricultura  vanatoare si silvicultura, Feminin, Harghita, Anul 1994, Mii persoane, 32.5
A Agricultura  vanatoare si silvicultura, Feminin, Harghita, Anul 1995, Mii persoane, 28
A Agricultura  vanatoare si silvicultura, Feminin, Harghita, Anul 1996, Mii persoane, 30.3
A Agricultura  vanatoare si silvicultura, Feminin, Harghita, Anul 1997, Mii persoane, 30.9
